iter	RMSE
0	142.0160533
1	139.1938553
2	136.5207635
3	134.2274944
4	132.2930102
5	129.7824299
6	127.780031
7	125.5373478
8	123.7624672
9	121.9723518
10	119.9398047
11	117.9824209
12	116.1613571
13	114.3928763
14	112.851433
15	111.2009952
16	109.5280645
17	108.175779
18	106.7624487
19	105.5356056
20	104.1759833
21	102.9881335
22	101.5332271
23	100.025933
24	98.99598587
25	97.87863798
26	96.66542419
27	95.59513738
28	94.79721059
29	93.7902595
30	92.9875884
31	92.10547485
32	91.32369186
33	90.32842772
34	89.5664174
35	88.55479675
36	87.71247371
37	87.15510556
38	86.59541521
39	85.80234318
40	85.27561927
41	84.64362182
42	83.88386483
43	83.23151483
44	82.59746536
45	81.70901567
46	81.2440139
47	80.63393503
48	80.08374865
49	79.37241251
50	78.87091136
51	78.41194591
52	77.91254212
53	77.48649955
54	76.99660108
55	76.61078062
56	76.27178161
57	75.72311396
58	75.39661658
59	74.93740715
60	74.49257135
61	74.02879668
62	73.85975266
63	73.48161913
64	73.10224534
65	72.81739284
66	72.29980575
67	71.90391212
68	71.74941417
69	71.39812352
70	71.02710196
71	70.74421827
72	70.38176479
73	70.04687117
74	69.66559863
75	69.32781188
76	69.05298394
77	68.66770559
78	68.59696318
79	68.45176542
80	68.01157658
81	67.84835729
82	67.57976801
83	67.32432558
84	67.1284053
85	66.7010581
86	66.49934266
87	66.16291676
88	65.99071863
89	65.72643657
90	65.37768485
91	65.14279683
92	64.87580981
93	64.42779708
94	64.18658163
95	63.97685771
96	63.77990581
97	63.55242985
98	63.37029484
99	63.01039317
100	62.70895281
101	62.64684705
102	62.60084565
103	62.5345546
104	62.31671895
105	62.27474077
106	62.21712808
107	61.91015079
108	61.7515151
109	61.69826031
110	61.46931774
111	61.30165827
112	61.04375582
113	60.70957047
114	60.46182507
115	60.28855685
116	60.15450518
117	59.86762411
118	59.70061128
119	59.51857117
120	59.33096179
121	59.09991441
122	58.89250363
123	58.79012913
124	58.67733603
125	58.49962862
126	58.31968335
127	58.2027365
128	58.03572645
129	57.78876722
130	57.67275715
131	57.51592498
132	57.23379291
133	57.18054537
134	57.01952509
135	56.84934094
136	56.64193236
137	56.46798077
138	56.2099067
139	55.9587969
140	55.91609564
141	55.84169815
142	55.73938012
143	55.60452962
144	55.43819322
145	55.21326441
146	54.98467372
147	54.84726206
148	54.46790781
149	54.3220411
150	54.2383623
151	54.06892403
152	53.78966995
153	53.53806372
154	53.37691776
155	53.19315557
156	53.05530724
157	53.00238246
158	52.79659231
159	52.75004184
160	52.6379366
161	52.37095318
162	52.21140874
163	52.09632636
164	51.93050416
165	51.82742423
166	51.72805403
167	51.63087388
168	51.50634785
169	51.47875726
170	51.33286548
171	51.29356309
172	51.21215356
173	51.02596099
174	50.99032119
175	50.95350757
176	50.76984899
