iter	Passed	Remaining
0	4	4662
1	8	4447
2	12	4220
3	17	4270
4	19	3885
5	24	3977
6	28	4028
7	33	4129
8	38	4188
9	42	4171
10	46	4224
11	52	4325
12	56	4306
13	60	4294
14	66	4344
15	71	4423
16	76	4408
17	81	4432
18	86	4457
19	90	4450
20	95	4473
21	102	4539
22	106	4520
23	110	4510
24	116	4553
25	120	4529
26	124	4504
27	130	4529
28	134	4515
29	139	4499
30	143	4484
31	148	4499
32	153	4484
33	157	4463
34	162	4488
35	167	4488
36	171	4472
37	177	4483
38	182	4496
39	186	4483
40	191	4472
41	196	4477
42	200	4466
43	205	4461
44	210	4457
45	214	4445
46	218	4434
47	223	4426
48	227	4424
49	232	4418
50	236	4406
51	241	4403
52	245	4393
53	250	4381
54	254	4368
55	259	4372
56	263	4366
57	267	4352
58	272	4341
59	276	4334
60	281	4326
61	285	4315
62	290	4314
63	294	4302
64	298	4290
65	302	4278
66	306	4275
67	311	4264
68	315	4252
69	319	4240
70	323	4237
71	327	4226
72	332	4217
73	335	4203
74	342	4220
75	346	4216
76	351	4207
77	355	4205
78	360	4199
79	364	4193
80	368	4185
81	374	4187
82	378	4177
83	382	4169
84	387	4167
85	391	4161
86	395	4151
87	399	4142
88	404	4144
89	409	4136
90	413	4131
91	419	4139
92	423	4134
93	428	4130
94	433	4126
95	438	4125
96	442	4120
97	447	4118
98	452	4115
99	457	4114
100	462	4113
101	468	4123
102	475	4136
103	479	4131
104	484	4129
105	488	4122
106	493	4118
107	498	4116
108	503	4112
109	507	4109
110	512	4106
111	517	4105
112	522	4101
113	527	4096
114	531	4092
115	536	4091
116	541	4085
117	545	4080
118	550	4078
119	555	4075
120	564	4100
121	569	4100
122	573	4092
123	578	4085
124	599	4193
125	603	4186
126	607	4177
127	612	4172
128	617	4167
129	622	4162
130	626	4155
131	631	4151
132	636	4147
133	640	4138
134	645	4134
135	649	4128
136	654	4121
137	658	4113
138	663	4109
139	668	4103
140	672	4096
141	676	4089
142	681	4086
143	686	4080
144	690	4073
145	695	4068
146	699	4060
147	704	4053
148	708	4048
149	713	4045
150	718	4040
151	724	4039
152	729	4040
153	734	4033
154	738	4026
155	743	4024
156	748	4018
157	752	4012
158	757	4007
159	762	4001
160	766	3995
161	770	3987
162	775	3981
163	779	3972
164	783	3963
165	787	3954
166	791	3948
167	796	3946
168	801	3941
169	806	3936
170	811	3932
171	815	3926
172	820	3919
173	824	3916
174	829	3910
175	833	3904
176	838	3898
177	843	3893
178	847	3887
179	852	3881
180	857	3879
181	861	3871
182	865	3863
183	869	3856
184	874	3851
185	878	3843
186	945	4112
187	952	4112
188	960	4119
189	970	4135
190	984	4168
191	999	4204
192	1007	4212
193	1015	4217
194	1022	4222
195	1030	4226
196	1037	4229
197	1043	4228
198	1049	4226
199	1055	4220
200	1059	4212
201	1064	4204
202	1069	4198
203	1077	4203
204	1090	4230
205	1095	4221
206	1100	4217
207	1105	4211
208	1111	4204
209	1116	4200
210	1121	4194
211	1126	4186
212	1130	4178
213	1135	4171
214	1140	4163
215	1145	4156
216	1150	4151
217	1155	4144
218	1159	4135
219	1165	4131
220	1169	4123
221	1174	4115
222	1179	4108
223	1183	4101
224	1188	4092
225	1193	4087
226	1198	4082
227	1203	4074
228	1208	4068
229	1213	4063
230	1218	4056
231	1223	4049
232	1227	4041
233	1232	4035
234	1237	4027
235	1241	4019
236	1246	4013
237	1251	4006
238	1255	3998
239	1260	3991
240	1265	3985
241	1270	3978
242	1274	3970
243	1279	3964
244	1284	3958
245	1289	3951
246	1295	3949
247	1301	3945
248	1305	3938
249	1312	3937
250	1317	3932
251	1322	3926
252	1328	3923
253	1334	3919
254	1339	3914
255	1346	3912
256	1351	3908
257	1357	3905
258	1363	3900
259	1368	3894
260	1374	3891
261	1380	3888
262	1385	3882
263	1391	3877
264	1396	3871
265	1400	3865
266	1408	3866
267	1413	3859
268	1417	3853
269	1424	3850
270	1431	3850
271	1436	3845
272	1443	3843
273	1448	3838
274	1453	3832
275	1459	3828
276	1464	3823
277	1470	3817
278	1475	3813
279	1481	3809
280	1488	3807
281	1494	3805
282	1501	3803
283	1509	3805
284	1515	3801
285	1522	3800
286	1527	3793
287	1531	3786
288	1537	3781
289	1542	3775
290	1547	3770
291	1553	3766
292	1558	3761
293	1563	3754
294	1569	3751
295	1574	3745
296	1580	3740
297	1585	3735
298	1592	3732
299	1597	3727
300	1604	3726
301	1609	3720
302	1615	3716
303	1621	3712
304	1626	3706
305	1634	3707
306	1639	3701
307	1645	3697
308	1652	3695
309	1658	3690
310	1663	3685
311	1669	3682
312	1675	3676
313	1680	3670
314	1686	3666
315	1691	3661
316	1696	3656
317	1702	3651
318	1708	3646
319	1713	3640
320	1718	3634
321	1723	3628
322	1727	3621
323	1733	3615
324	1737	3609
325	1742	3602
326	1747	3597
327	1752	3591
328	1757	3584
329	1762	3577
330	1767	3571
331	1771	3564
332	1775	3556
333	1780	3549
334	1784	3541
335	1788	3534
336	1792	3526
337	1797	3520
338	1801	3513
339	1805	3505
340	1810	3498
341	1815	3492
342	1819	3484
343	1823	3477
344	1828	3471
345	1832	3463
346	1836	3455
347	1840	3448
348	1845	3442
349	1849	3435
350	1853	3427
351	1857	3420
352	1862	3414
353	1866	3406
354	1870	3399
355	1875	3392
356	1879	3385
357	1883	3377
358	1887	3370
359	1892	3364
360	1897	3358
361	1901	3351
362	1905	3344
363	1910	3337
364	1914	3330
365	1918	3323
366	1923	3317
367	1928	3311
368	1932	3305
369	1937	3298
370	1942	3293
371	1946	3286
372	1951	3280
373	1955	3273
374	1960	3267
375	1965	3261
376	1969	3254
377	1974	3248
378	1978	3241
379	1982	3234
380	1986	3227
381	1991	3221
382	1995	3214
383	1999	3207
384	2003	3200
385	2008	3195
386	2014	3190
387	2020	3186
388	2025	3181
389	2030	3175
390	2034	3168
391	2039	3163
392	2058	3180
393	2063	3174
394	2068	3167
395	2074	3164
396	2079	3157
397	2083	3151
398	2089	3147
399	2093	3140
400	2097	3133
401	2105	3131
402	2116	3135
403	2122	3130
404	2126	3124
405	2130	3117
406	2136	3112
407	2141	3106
408	2145	3100
409	2150	3095
410	2155	3089
411	2160	3082
412	2164	3077
413	2170	3072
414	2175	3066
415	2179	3059
416	2183	3053
417	2188	3046
418	2192	3040
419	2197	3033
420	2201	3028
421	2206	3021
422	2210	3015
423	2215	3009
424	2219	3003
425	2224	2997
426	2229	2991
427	2234	2986
428	2238	2980
429	2243	2973
430	2248	2967
431	2252	2962
432	2257	2955
433	2261	2949
434	2266	2943
435	2270	2937
436	2275	2931
437	2279	2925
438	2285	2920
439	2289	2914
440	2294	2908
441	2299	2902
442	2304	2896
443	2308	2890
444	2313	2885
445	2317	2879
446	2322	2873
447	2326	2867
448	2332	2861
449	2336	2855
450	2340	2849
451	2345	2843
452	2350	2837
453	2354	2831
454	2359	2826
455	2364	2820
456	2369	2815
457	2373	2809
458	2379	2804
459	2383	2798
460	2389	2793
461	2394	2788
462	2399	2782
463	2404	2777
464	2408	2771
465	2414	2767
466	2420	2762
467	2428	2760
468	2437	2759
469	2446	2758
470	2451	2753
471	2457	2748
472	2464	2745
473	2469	2740
474	2474	2735
475	2481	2731
476	2486	2725
477	2492	2722
478	2498	2717
479	2502	2711
480	2508	2706
481	2514	2702
482	2520	2697
483	2527	2694
484	2534	2691
485	2543	2689
486	2547	2683
487	2552	2677
488	2557	2672
489	2562	2666
490	2566	2660
491	2572	2655
492	2576	2650
493	2581	2644
494	2586	2638
495	2591	2633
496	2596	2627
497	2600	2621
498	2605	2616
499	2610	2610
500	2615	2604
501	2620	2599
502	2625	2594
503	2638	2596
504	2643	2590
505	2647	2584
506	2652	2579
507	2656	2573
508	2661	2567
509	2666	2561
510	2671	2556
511	2675	2550
512	2680	2544
513	2685	2539
514	2690	2534
515	2695	2528
516	2699	2522
517	2704	2516
518	2709	2511
519	2713	2505
520	2718	2499
521	2723	2494
522	2727	2487
523	2732	2481
524	2737	2476
525	2741	2470
526	2745	2464
527	2750	2458
528	2754	2452
529	2759	2446
530	2762	2440
531	2767	2434
532	2771	2428
533	2805	2447
534	2809	2442
535	2813	2435
536	2819	2431
537	2825	2426
538	2831	2421
539	2838	2417
540	2843	2412
541	2850	2408
542	2854	2402
543	2864	2401
544	2869	2395
545	2874	2390
546	2879	2384
547	2884	2379
548	2890	2374
549	2896	2369
550	2903	2365
551	2908	2360
552	2913	2355
553	2918	2349
554	2924	2344
555	2929	2339
556	2934	2333
557	2939	2328
558	2943	2322
559	2948	2316
560	2952	2310
561	2956	2304
562	2960	2298
563	2965	2292
564	2969	2286
565	2973	2279
566	2977	2274
567	2981	2267
568	2985	2261
569	2989	2255
570	2994	2249
571	2998	2243
572	3003	2238
573	3008	2232
574	3013	2227
575	3020	2223
576	3025	2217
577	3030	2212
578	3034	2206
579	3039	2200
580	3044	2195
581	3058	2196
582	3063	2191
583	3068	2185
584	3073	2180
585	3080	2176
586	3084	2170
587	3089	2164
588	3094	2159
589	3098	2153
590	3103	2147
591	3109	2142
592	3114	2137
593	3118	2131
594	3123	2126
595	3128	2120
596	3132	2114
597	3137	2109
598	3144	2104
599	3168	2112
600	3173	2106
601	3177	2100
602	3182	2095
603	3186	2089
604	3190	2083
605	3195	2077
606	3199	2071
607	3204	2065
608	3208	2059
609	3213	2054
610	3217	2048
611	3222	2042
612	3226	2037
613	3231	2031
614	3236	2025
615	3240	2020
616	3244	2014
617	3249	2008
618	3253	2002
619	3257	1996
620	3262	1991
621	3266	1985
622	3271	1979
623	3276	1974
624	3280	1968
625	3285	1962
626	3289	1957
627	3293	1951
628	3298	1945
629	3302	1939
630	3307	1934
631	3311	1928
632	3315	1922
633	3321	1917
634	3325	1911
635	3330	1905
636	3335	1900
637	3338	1894
638	3353	1894
639	3357	1888
640	3361	1882
641	3366	1877
642	3370	1871
643	3375	1865
644	3379	1859
645	3384	1854
646	3388	1848
647	3392	1842
648	3397	1837
649	3402	1832
650	3407	1826
651	3413	1821
652	3420	1817
653	3424	1811
654	3429	1806
655	3434	1800
656	3439	1795
657	3444	1790
658	3449	1784
659	3453	1779
660	3459	1774
661	3463	1768
662	3468	1763
663	3473	1757
664	3478	1752
665	3482	1746
666	3487	1741
667	3492	1735
668	3496	1730
669	3515	1731
670	3519	1725
671	3524	1720
672	3529	1715
673	3534	1709
674	3538	1703
675	3544	1698
676	3548	1693
677	3552	1687
678	3558	1682
679	3574	1681
680	3578	1676
681	3583	1670
682	3587	1665
683	3592	1659
684	3596	1654
685	3600	1648
686	3605	1642
687	3610	1637
688	3614	1631
689	3619	1625
690	3624	1620
691	3633	1617
692	3638	1611
693	3642	1606
694	3647	1600
695	3651	1595
696	3657	1589
697	3663	1584
698	3668	1579
699	3673	1574
700	3677	1568
701	3682	1563
702	3687	1557
703	3691	1552
704	3696	1546
705	3700	1541
706	3705	1535
707	3710	1530
708	3714	1524
709	3719	1519
710	3724	1513
711	3729	1508
712	3733	1502
713	3739	1497
714	3743	1492
715	3747	1486
716	3751	1480
717	3755	1475
718	3759	1469
719	3763	1463
720	3767	1458
721	3771	1452
722	3776	1446
723	3779	1440
724	3784	1435
725	3788	1429
726	3792	1424
727	3796	1418
728	3800	1412
729	3805	1407
730	3809	1401
731	3813	1396
732	3817	1390
733	3821	1385
734	3825	1379
735	3829	1373
736	3833	1368
737	3837	1362
738	3841	1356
739	3845	1351
740	3850	1345
741	3854	1340
742	3858	1334
743	3862	1328
744	3866	1323
745	3871	1318
746	3875	1312
747	3879	1306
748	3883	1301
749	3887	1295
750	3891	1290
751	3896	1284
752	3900	1279
753	3904	1273
754	3908	1268
755	3912	1262
756	3916	1257
757	3920	1251
758	3924	1246
759	3929	1240
760	3933	1235
761	3938	1230
762	3942	1224
763	3946	1219
764	3950	1213
765	3954	1208
766	3958	1202
767	3962	1197
768	3966	1191
769	3970	1186
770	3974	1180
771	3978	1175
772	3982	1169
773	3988	1164
774	3992	1159
775	3997	1153
776	4001	1148
777	4006	1143
778	4011	1137
779	4016	1132
780	4020	1127
781	4024	1122
782	4029	1116
783	4034	1111
784	4038	1106
785	4044	1101
786	4049	1095
787	4053	1090
788	4058	1085
789	4063	1080
790	4067	1074
791	4072	1069
792	4077	1064
793	4082	1059
794	4087	1053
795	4093	1049
796	4097	1043
797	4102	1038
798	4106	1033
799	4111	1027
800	4115	1022
801	4120	1017
802	4126	1012
803	4130	1007
804	4135	1001
805	4140	996
806	4144	991
807	4149	986
808	4153	980
809	4158	975
810	4163	970
811	4167	964
812	4175	960
813	4199	959
814	4204	954
815	4208	949
816	4213	943
817	4217	938
818	4222	933
819	4226	927
820	4230	922
821	4235	917
822	4239	911
823	4244	906
824	4248	901
825	4252	895
826	4257	890
827	4262	885
828	4266	879
829	4271	874
830	4275	869
831	4280	864
832	4284	858
833	4289	853
834	4293	848
835	4297	843
836	4302	837
837	4306	832
838	4311	827
839	4315	822
840	4320	816
841	4325	811
842	4329	806
843	4334	801
844	4339	795
845	4343	790
846	4348	785
847	4352	780
848	4357	775
849	4361	769
850	4366	764
851	4370	759
852	4374	753
853	4380	748
854	4386	743
855	4391	738
856	4396	733
857	4402	728
858	4407	723
859	4412	718
860	4417	713
861	4422	707
862	4426	702
863	4431	697
864	4436	692
865	4440	687
866	4444	681
867	4449	676
868	4454	671
869	4458	666
870	4464	661
871	4469	656
872	4473	650
873	4478	645
874	4483	640
875	4487	635
876	4492	630
877	4496	624
878	4501	619
879	4506	614
880	4511	609
881	4515	604
882	4520	598
883	4523	593
884	4528	588
885	4533	583
886	4542	578
887	4548	573
888	4552	568
889	4557	563
890	4563	558
891	4569	553
892	4573	548
893	4579	542
894	4583	537
895	4587	532
