Name,ID,Barrio,Precio,Edad,Area Construida,Area Total,Parking/admin_value,Descripcion,Estrato,Habitaciones,Baños,Other Variable,list,Vigilancia 24hrs,Ubicado en edificio,Chimenea,Cocina integral,Tipo de parqueadero independiente,Cerca colegios / universidades,Cerca supermercados,Características del parqueadero cubierto,Portería,Tipo de estufa gas,Citófonos,Terraza/Balcón balcón,Piso en baldosa,Vigilancia,Zonas verdes,Parqueadero visitantes,Patio,Hall de alcobas,Estudio o biblioteca,Apto para niños,Tipo de cortinas ninguna,Cuarto de servicio,Piso 2,Cocina tipo americano,Lote vacio,Sobre vía principal,Jardín,Instalación de gas natural,Zona para niños,Zona de lavandería,Vigilancia 0,Tipo de parqueadero propio,Cerca parques,Calefacción,Tipo de casa tradicional,Deposito 1,Salón comunal,Piso 1,Zona campestre,Circuito cerrado de TV,Zona residencial,Zona comercial,Acceso para discapacitados,Zona de BBQ,Baño auxiliar,Tipo de lote lote vacío,Piso en porcelanato,Baños de servicio,Piso en madera,Calentador gas,Vista panorámica,Conjunto cerrado,Cerca transporte público,Sobre vía secundaria,Ascensor,Depósito o cuarto útil,Cerca centros comerciales,Tipo de comedor sala comedor,Parqueadero cubierto,Número de Ascensores 1,Piso 3,Vista exterior,date,city
"Casa en Venta, Solano",920-42151036,Solano,$1.390.000.000,Más de 20 años,440 m²,440 m²,2,"Casa para uso de oficinas, EPS, consultorios o comercial, en Solano, Duitama para venta. Esta distribuida por niveles, cuenta dos salas amplias, seis baños, trece consultorios, bodega, patio amplio y rampa de acceso. Sótano, semisótano, dos patios y dos garajes. Excelente sector de Boyacá.",4,1,5,"['Baño auxiliar', 'Instalación de gas ninguno', 'Patio', 'Tipo de cocina lineal', 'Tipo de parqueadero independiente', 'Tipo acabado de piso otro', 'Tipo de piso en alcobas otro', 'Tipo de piso en comedor otro', 'Tipo de piso en estudio otro', 'Tipo de piso en sala otro', 'Vista exterior', 'Vigilancia 0', 'Cerca centros comerciales', 'Cerca parques', 'Cerca supermercados', 'Zona comercial']","['Baño auxiliar', 'Instalación de gas ninguno', 'Patio', 'Tipo de cocina lineal', 'Tipo de parqueadero independiente', 'Tipo acabado de piso otro', 'Tipo de piso en alcobas otro', 'Tipo de piso en comedor otro', 'Tipo de piso en estudio otro', 'Tipo de piso en sala otro', 'Vista exterior', 'Vigilancia 0', 'Cerca centros comerciales', 'Cerca parques', 'Cerca supermercados', 'Zona comercial']",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2023-10-03,duitama
Apartamento en Venta,51-M3275229,,$208.000.000,Entre 0 y 5 años,66 m²,65 m²,$80.000,"excelente proyecto en preconstrucción en la ciudad de Duitama es un centro urbano que se conoce como la capital Cívica de Boyacá, es un puerto transportador ubicado en un punto estratégico, para la prestación de servicios.

Este lindo proyecto esta ubicado en una zona muy importante de desarrollo urbanístico, cuenta con tres torres con excelentes acabados en siete pisos con una lindas zonas comunes.
cuenta con apartamentos desde 1 hasta 3 habitaciones
para entrega segundo semestre 2023

   ",3,3,2,"['Apto para niños', 'Citófonos', 'Tipo de cortinas ninguna', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 2', 'Piso 4', 'Se permite fumar', 'Calentador gas', 'Tipo de cocina abierta', 'Tipo de comedor sala comedor', 'Deposito 0', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Vista exterior', 'Area Terraza/Balcón 2 m²', 'Acceso para discapacitados', 'Vista panorámica', 'Conjunto cerrado', 'Terraza/Balcón balcón', 'Salón comunal', 'Zona para niños', 'Zonas verdes', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']","['Apto para niños', 'Citófonos', 'Tipo de cortinas ninguna', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 2', 'Piso 4', 'Se permite fumar', 'Calentador gas', 'Tipo de cocina abierta', 'Tipo de comedor sala comedor', 'Deposito 0', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Vista exterior', 'Area Terraza/Balcón 2 m²', 'Acceso para discapacitados', 'Vista panorámica', 'Conjunto cerrado', 'Terraza/Balcón balcón', 'Salón comunal', 'Zona para niños', 'Zonas verdes', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']",0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,2023-10-03,duitama
"Apartamento en Venta, San Juan bosco",MC4587122,San Juan bosco,$240.000.000,Entre 0 y 5 años,140 m²,140 m²,,"Residencia universitaria, 7 habitaciones más un apartaestudio, 8 baños, zona social,  patio de ropas, gas natural, todos los servicios independientes.  RENTANDO 2 MILLONES DE PESOS. ",2,5,5,"['Cocina integral', 'Equipado / amoblado', 'Piso en baldosa', 'Piso en porcelanato', 'Vigilancia', 'Zona de lavandería', 'Piso 1', 'Cerca colegios / universidades', 'Cerca supermercados', 'Cerca transporte público']","['Cocina integral', 'Equipado / amoblado', 'Piso en baldosa', 'Piso en porcelanato', 'Vigilancia', 'Zona de lavandería', 'Piso 1', 'Cerca colegios / universidades', 'Cerca supermercados', 'Cerca transporte público']",0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2023-10-03,duitama
"Lote o Casalote en Venta, Centro",11233-M3248192,Centro,$3.000.000.000,Más de 20 años,0 m²,4966 m²,,"Oportunidad única! Lote de 4.967 m2 en Duitama, Boyacá, con uso del suelo para vivienda hasta 5 pisos. Perfecto para inversionistas que buscan construir proyectos residenciales en una zona tranquila y con gran potencial de valorización. No pierdas esta oportunidad de inversión en una de las ciudades más prósperas de Boyacá. Contáctanos ahora mismo para más información.Se aceptan permutas por locales de valor superior, en las ciudades de Bogota, Bucaramanga y inversióninmobiliaria oportunidaddeinversión terrenoenventa Duitama Boyacá",3,,,['Area lote 4966 m²'],['Area lote 4966 m²'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-03,duitama
"Lote o Casalote en Venta, Vereda Tocogua Duitama",10278-M3848714,Vereda Tocogua Duitama,$300.000.000,Entre 10 y 20 años,72 m²,72 m²,,"Este lote cuenta con una casa semi terminada ubicada en la Vereda Tocogüa, cuenta con estufa de leña y energía eléctrica. Cuenta con los beneficios de la paz y tranquilidad que da una ubicación rural o campestre, pero muy cerca del casco urbano del municipio de Duitama, una de las principales poblaciones del departamento de Boyacá. La ubicación del predio es estratégica ya que cuenta con una hermosa vista y se encuentra muy cerca de senderos naturales para realizar caminatas ecológicas o actividades de ecoturismo. La distancia entre la entrada al lote y la primera vía urbana es aproximadamente menos de 1 kilometro o lo que equivale a menos de 5 minutos en un vehículo particular o 15 minutos caminando.",2,,,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-03,duitama
"Apartamento en Venta, Centro",MC4571793,Centro,$320.000.000,Más de 20 años,107 m²,98 m²,1,"En venta apartamento amplio, ubicado en el centro del municipio de Duitama. ",5,3,3,"['Baño auxiliar', 'Características del parqueadero cubierto', 'Citófonos', 'Cocina integral', 'Cuarto de servicio', 'Estudio o biblioteca', 'Piso en madera', 'Zona de lavandería', 'Piso 7', 'Tipo de parqueadero propio', 'Ascensor', 'Portería', 'Salón comunal', 'Cerca centros comerciales', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Ubicado en edificio']","['Baño auxiliar', 'Características del parqueadero cubierto', 'Citófonos', 'Cocina integral', 'Cuarto de servicio', 'Estudio o biblioteca', 'Piso en madera', 'Zona de lavandería', 'Piso 7', 'Tipo de parqueadero propio', 'Ascensor', 'Portería', 'Salón comunal', 'Cerca centros comerciales', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Ubicado en edificio']",0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2023-10-03,duitama
"Lote o Casalote en Venta, San Pedro",MC4566594,San Pedro,$900.000.000,500 m²,500 m²,,,"Dentro de las fotos se encuentra una con la descripción de la vivienda. Es casa campestre excelente vista, zona de cabañas, en Duitama. Excelente en servicios públicos, ubicada al lado vida principal fácil acceso servicio transporte público. Cuenta con toda la documentacion, planos y valoración por arquitecto.  ",3,,,"['Con vivienda', 'Fondo 1000 m', 'Lote vacio', 'Piso 3', 'Patio', 'Zonas verdes', 'Cerca transporte público']","['Con vivienda', 'Fondo 1000 m', 'Lote vacio', 'Piso 3', 'Patio', 'Zonas verdes', 'Cerca transporte público']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-10-03,duitama
"Casa en Venta, El Libertador",342-M4423503,El Libertador,$380.000.000,Entre 10 y 20 años,240 m²,240 m²,2,"HERMOSA CASA EN DUITAMACUENTA CON UN AREA DE 240 METROS, EN EL PRIMER NIVEL CUENTA CON SALA COMEDORCON CHIMENEA, COCINA INTEGRAL A GAS, UN HABITACION CON BAÑO, PATIO DE ROPAS, SEGUNDO NIVEL  TRES HABITACIONES CON CLOSET, DOS BAÑOS, UN ESTUDIO, ESTAR DE ALCOBAS, TERCER NIVEL DOS HABITACIONES, UN BAÑO, CUERTO CON SAUNA, TERRAZA, EXCELENTE ACABADOS, MUY BUENA UBICACION, CERCA A CENTRO COMERCIAL, EXITO, COLEGIOS. ACEPTA PERMUTA EN BOGOTA O DUITAMA.",3,5,4,"['Estudio o biblioteca', 'Instalación de gas natural', 'Closets 1', 'Patio', 'Tipo de cocina lineal', 'Tipo de comedor sala comedor', 'Tipo de parqueadero independiente', 'Tipo acabado de piso porcelanato', 'Tipo de piso en alcobas porcelanato', 'Tipo de piso en comedor porcelanato', 'Tipo de piso en estudio porcelanato', 'Tipo de piso en sala porcelanato', 'Vista exterior', 'Baños de servicio', 'Jardín', 'Vigilancia 0', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria', 'Zona residencial']","['Estudio o biblioteca', 'Instalación de gas natural', 'Closets 1', 'Patio', 'Tipo de cocina lineal', 'Tipo de comedor sala comedor', 'Tipo de parqueadero independiente', 'Tipo acabado de piso porcelanato', 'Tipo de piso en alcobas porcelanato', 'Tipo de piso en comedor porcelanato', 'Tipo de piso en estudio porcelanato', 'Tipo de piso en sala porcelanato', 'Vista exterior', 'Baños de servicio', 'Jardín', 'Vigilancia 0', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria', 'Zona residencial']",0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,2023-10-03,duitama
Lote o Casalote en Venta,5483-M2704947,,$980.000.000,Más de 20 años,6828 m²,6828 m²,,"Vendo Lote con ubicación estratégica sobre la vía Duitama – Tibasosa, son 6828 mts con topografía plana,  disponibilidad de servicios públicos de fácil acceso sin necesidad de prolongues de los mismos. Uso para restaurantes, estacionamientos, paradores, centros de acopio de productos agropecuarios, servicios hoteleros. Usos condicionados como Terminales de Transporte, almacenes de grandes superficies y Uso Institucional. Tiene 42,50 de frente y hacia el fondo se reduce a 18,20mts. De fondo tiene 228mts de un lado y de otro tiene 222mts. Está ubicado en zona suburbana en límites con Duitama, en la recta San Rafael, en sentido Duitama-Sogamoso.",1,,,"['Ancho 42 m', 'Fondo 228 m', 'Tipo de lote lote vacío', 'Area lote 6828 m²', 'Sobre vía principal']","['Ancho 42 m', 'Fondo 228 m', 'Tipo de lote lote vacío', 'Area lote 6828 m²', 'Sobre vía principal']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-03,duitama
"Casa en Venta, La esperanza ",MC4589189,La esperanza ,$285.000.000,Entre 0 y 5 años,200 m²,210 m²,1,Se vende hermosa casa con un área de dosientos metros cuadrados la casa se entrega totalmente terminada( agusto  del cliente) Cuenta con tres niveles en el primer nivel está el parqueadero sala comedor cocina integral baño social segundo nivel tres habitaciones estudio y dos baños completos en el tercer nivel Patio de ropas zona BBQ y 55 mtr de terraza más balcón ,3,3,3,"['Baño auxiliar', 'Características del parqueadero cubierto', 'Alarma', 'Cocina integral', 'Estudio o biblioteca', 'Piso en baldosa', 'Piso 3', 'Patio', 'Tipo de parqueadero propio', 'Baños de servicio', 'Jardín', 'Zona de BBQ', 'Zona para niños', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Zona comercial', 'Zona residencial']","['Baño auxiliar', 'Características del parqueadero cubierto', 'Alarma', 'Cocina integral', 'Estudio o biblioteca', 'Piso en baldosa', 'Piso 3', 'Patio', 'Tipo de parqueadero propio', 'Baños de servicio', 'Jardín', 'Zona de BBQ', 'Zona para niños', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Zona comercial', 'Zona residencial']",0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-10-03,duitama
