Name,ID,Barrio,Precio,Edad,Area Construida,Area Total,Parking/admin_value,Descripcion,Estrato,Habitaciones,Baños,Other Variable,list,Portería,Zona comercial,Patio,Ascensor,Tipo de cortinas ninguna,Cerca centros comerciales,Chimenea,Parqueadero visitantes,Vigilancia,Piso 2,Tipo de parqueadero independiente,Cocina tipo americano,Ubicado en edificio,Cerca parques,Tipo de estufa gas,Cuarto de servicio,Sobre vía secundaria,Calefacción,Piso en baldosa,Cerca colegios / universidades,Tipo de comedor sala comedor,Vigilancia 24hrs,Tipo de lote lote vacío,Comedor auxiliar,Apto para niños,Zonas verdes,Cerca supermercados,Zona residencial,Piso 3,Sobre vía principal,Calentador gas,Número de Ascensores 1,Baño auxiliar,Zona de lavandería,Tipo de parqueadero propio,Baños de servicio,Piso 1,Zona campestre,Vigilancia 0,Salón comunal,Vista panorámica,Características del parqueadero cubierto,Hall de alcobas,Parqueadero cubierto,Cocina integral,Tipo de casa tradicional,Estudio o biblioteca,Citófonos,Vista exterior,Zona de BBQ,Lote vacio,Cerca transporte público,Acceso para discapacitados,Instalación de gas natural,Jardín,Deposito 1,Zona para niños,Circuito cerrado de TV,Conjunto cerrado,Tipo de cocina lineal,Terraza/Balcón balcón,date,city
"Lote o Casalote en Venta, Trinidad",15353-M4471556,Trinidad,$470.000.000,Entre 0 y 5 años,3150 m²,3200 m²,,"verentupredy.com Lote en venta, para la construcción de una vivienda tipo campestre, la localidad es muy tranquila y segura. El lote tiene un cerco con malla metálica, a sus alrededores tiene filtros frances para evitar inundaciones. El terreno es plano y de ripio. verengooglemaps
",3,,,"['Tipo de lote lote vacío', 'Area lote 3200 m²', 'Acceso para discapacitados', 'Cerca supermercados', 'Cerca transporte público']","['Tipo de lote lote vacío', 'Area lote 3200 m²', 'Acceso para discapacitados', 'Cerca supermercados', 'Cerca transporte público']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2023-11-22,duitama
"Casa en Venta, LA FLORESTA",11295-M4050790,LA FLORESTA,$350.000.000,Entre 10 y 20 años,230 m²,230 m²,3,"Se vende casa ubicada en un sector central cerca a la Clínica Boyacá, la Universidad Antonio Nariño, Supermercado Paraíso y a 3 minutos del Nuevo Terminal además cerca a la Av las Américas y a conjuntos exclusivos como el Club de la floresta, La propiedad consta de 6 habitaciones, 3 baños, uno en la habitación principal y 2 sociales, sala comedor, cocina integral con horno, zona de estar y una terraza amplia con una zona social adicionalmente un garaje extenso para 3 garajes",4,5,3,"['Zona de lavandería', 'Tipo de casa tradicional']","['Zona de lavandería', 'Tipo de casa tradicional']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-22,duitama
"Apartamento en Venta, Sevilla",10159-M4203983,Sevilla,$175.000.000,Entre 5 y 10 años,64.8 m²,63 m²,$60.000,"Código 6468FR380 Excelente oportunidad de adquirir apartamento en la ciudad de Duitama, con fácil acceso de transporte público, el conjunto cuenta con vigilancia privada, circuito de cámaras, zonas verdes, parque infantil, salón social, zona de BBQ, cancha de baloncesto, cancha de futbol, Capilla de oración dentro del conjunto, GYM a campo abierto y parqueadero para visitantes, este apartamento consta de tres alcobas, dos baños, cocina semi-integral, sala-comedor, zona de lavandería y tiene derecho a un parqueadero asignado no incluido en la escritura, se entrega encortinado.

Quieres obtener más información, contáctanos para ayudarte a elegir el espacio que buscas…
",2,3,2,"['Calefacción', 'Citófonos', 'Comedor auxiliar', 'Hall de alcobas', 'Vigilancia', 'Zona de lavandería', 'Piso 4', 'Tipo acabado de piso cerámica', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Cancha(s) de basket', 'Cancha(s) de fútbol', 'Gimnasio', 'Salón comunal', 'Zona de BBQ', 'Zona para niños', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Sobre vía principal', 'Zona campestre', 'Zona residencial']","['Calefacción', 'Citófonos', 'Comedor auxiliar', 'Hall de alcobas', 'Vigilancia', 'Zona de lavandería', 'Piso 4', 'Tipo acabado de piso cerámica', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Cancha(s) de basket', 'Cancha(s) de fútbol', 'Gimnasio', 'Salón comunal', 'Zona de BBQ', 'Zona para niños', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Sobre vía principal', 'Zona campestre', 'Zona residencial']",1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,2023-11-22,duitama
"Apartamento en Venta, CENTRO",5483-M3579519,CENTRO,$430.000.000,Entre 5 y 10 años,133 m²,133 m²,$330.000,"VENDO ESPECTACULAR APARTAMENTO EN DUITAMA. 111 m2 de área privada + 15 m2 de terraza privada + 35 m2 de terraza común de uso exclusivo + balcón, con excelente iluminación natural, la terraza rodea el apartamento. 3 habitaciones, la principal con baño, estar de tv o estudio, sala, comedor, cocina abierta, patio de ropas, 1 garaje cubierto + depósito, salón social, sala de juegos, ascensor, vigilancia 24 horas. A media cuadra del Parque e Iglesia El Cármen, a 2 cuadras del Parque principal Los Libertadores e Iglesia Catedral, igual que a los bancos, notarías y Alcaldía, cerca a supermercados, comercio y colegios. ",4,3,3,"['Apto para niños', 'Tipo de cortinas ninguna', 'Parqueadero cubierto', 'Hall de alcobas', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 3', 'Piso 7', 'Se permite fumar', 'Calentador gas', 'Tipo de cocina abierta', 'Tipo de comedor sala comedor', 'Deposito 1', 'Tipo de estufa mixta', 'Tipo de parqueadero independiente', 'Tipo acabado de piso porcelanato', 'Tipo de piso en alcobas porcelanato', 'Tipo de piso en comedor porcelanato', 'Tipo de piso en estudio porcelanato', 'Tipo de piso en sala porcelanato', 'Vista exterior', 'Area Terraza/Balcón 35 m²', 'Ascensor', 'Acceso para discapacitados', 'Conjunto cerrado', 'Número de Ascensores 1', 'Terraza/Balcón terraza', 'Zona de BBQ', 'Cerca centros comerciales', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']","['Apto para niños', 'Tipo de cortinas ninguna', 'Parqueadero cubierto', 'Hall de alcobas', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 3', 'Piso 7', 'Se permite fumar', 'Calentador gas', 'Tipo de cocina abierta', 'Tipo de comedor sala comedor', 'Deposito 1', 'Tipo de estufa mixta', 'Tipo de parqueadero independiente', 'Tipo acabado de piso porcelanato', 'Tipo de piso en alcobas porcelanato', 'Tipo de piso en comedor porcelanato', 'Tipo de piso en estudio porcelanato', 'Tipo de piso en sala porcelanato', 'Vista exterior', 'Area Terraza/Balcón 35 m²', 'Ascensor', 'Acceso para discapacitados', 'Conjunto cerrado', 'Número de Ascensores 1', 'Terraza/Balcón terraza', 'Zona de BBQ', 'Cerca centros comerciales', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']",0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,2023-11-22,duitama
"Lote o Casalote en Venta, Vereda Tocogua Duitama",10278-M3848739,Vereda Tocogua Duitama,$350.000.000,Entre 10 y 20 años,0 m²,0 m²,,"Este lote ubicado en la Vereda Tocogüa, cuenta con un tanque de agua de reserva y con posibilidad de habilitar un punto de Luz  energía eléctrica . Cuenta con los beneficios de la paz y tranquilidad que da una ubicación rural o campestre, pero muy cerca del casco urbano del municipio de Duitama, una de las principales poblaciones del departamento de Boyacá. La ubicación del predio es estratégica ya que cuenta con una hermosa vista y se encuentra muy cerca de senderos naturales para realizar caminatas ecológicas o actividades de ecoturismo. La distancia entre la entrada al lote y la primera vía urbana es aproximadamente menos de 1 kilometro o lo que equivale a menos de 5 minutos en un vehículo particular o 15 minutos caminando.",2,,,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-22,duitama
"Apartamento en Venta, La Esperanza",5105-M4147823,La Esperanza,$165.000.000,Más de 20 años,90 m²,90 m²,$204.000,"Hermoso apto exterior muy iluminado, con 3 alcobas 2 baños, amplios espacios, con garaje cubierto, estrato 4 pero alrededor, estrato 4.

Excelente ubicación a tan solo 3 cuadras de la carretera ppal hacia Paipa , Tunja y Bogota, a pocas cuadras del Hospital de Duitama y de la Terminal de Transportes",3,3,2,"['Citófonos', 'Tipo de cortinas ninguna', 'Cuarto de servicio', 'Parqueadero cubierto', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 3', 'Piso 2', 'Calentador no tiene', 'Tipo de cocina en u', 'Tipo de comedor sala comedor', 'Deposito 0', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Tipo acabado de piso baldosa', 'Vista exterior', 'Circuito cerrado de TV', 'Conjunto cerrado', 'Número de Ascensores 0', 'Vigilancia 24hrs', 'Salón comunal', 'Zona para niños', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']","['Citófonos', 'Tipo de cortinas ninguna', 'Cuarto de servicio', 'Parqueadero cubierto', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 3', 'Piso 2', 'Calentador no tiene', 'Tipo de cocina en u', 'Tipo de comedor sala comedor', 'Deposito 0', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Tipo acabado de piso baldosa', 'Vista exterior', 'Circuito cerrado de TV', 'Conjunto cerrado', 'Número de Ascensores 0', 'Vigilancia 24hrs', 'Salón comunal', 'Zona para niños', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']",0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,2023-11-22,duitama
"Casa en Venta, Av Las Américas",11295-M3581012,Av Las Américas,$753.228.915,Más de 20 años,465 m²,465 m²,,"En venta, una amplia casa de 3 niveles con mezanine y ascensor industrial, ubicada sobre la transitada Avenida Las Américas, en un sector comercial de alto tráfico vehicular y peatonal. La propiedad cuenta con todos los servicios, luz trifásica y una excelente iluminación. En el primer nivel, hay un área de atención al cliente con una oficina, un punto de servicio, ascensor y baño. En el segundo nivel, se encuentra un mezanine con otra oficina y baño. En el tercer nivel, hay un amplio espacio para inventario y en el último nivel, un apartamento de 3 habitaciones con closet, 2 baños, cocina, patio de ropas y un luminoso espacio con vista a la avenida. La propiedad se encuentra a 5 minutos del centro, la funeraria y en un sector comercial con restaurantes, tiendas de autos, papelerías y supermercados ARA. Contáctanos para más información y programar una visita.",3,3,3,"['Zona de lavandería', 'Tipo de casa tradicional']","['Zona de lavandería', 'Tipo de casa tradicional']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-22,duitama
"Apartamento en Venta, Glorieta San Jose",11013-M4629463,Glorieta San Jose,$193.632.000,Entre 0 y 5 años,42 m²,42 m²,1,"vc Mirador del Valle permite que las familias vivan en un lugar donde la naturaleza y el entretenimiento al aire libre son de gran importancia, generando espacios diseñados para cada miembro de la familia con el fin de poder compartir momentos inolvidables. Datos Generales Proyecto de 3 torres de 42 apartamentos cada una 1 garaje privado por apartamento 7 pisos por torre Apartamentos de  42m2   60m2 a 66m2 Aptos de 1 y 3 habitaciones Zonas Sociales  Lobby Salón de Eventos Gimnasio Mundo Niños  Juegos Infantiles Senderos Naturales Salón del Billar BBQ s al aire libre Parqueaderos de Bicicletas Junto a Alameda sobre el Río",3,1,2,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-22,duitama
"Apartamento en Venta, El Solano",MC4241570,El Solano,$550.000.000,Más de 20 años,230 m²,230 m²,$603.000,"Espectacular Apartamento Penthouse!!!, ubicado en el mejor sitio de Duitama, con cercania a todos los Servicios, Parqueaderos, Supermercados, Colegios, Centros Comerciales, Transporte, etc. Excelentes acabados en madera maciza, en los pisos, closets, puertas. El baño de la Alcoba Pppal cuenta con tina. Amplia Zona de Ropas, Terraza cubierta de uso Exclusivo. Muy buena iluminacion, cocina con excelentes acabados, vigilancia privada las 24 horas del dia, ",4,5,3,"['Baño auxiliar', 'Características del parqueadero cubierto', 'Chimenea', 'Citófonos', 'Cocina integral', 'Cuarto de servicio', 'Estudio o biblioteca', 'Piso en madera', 'Vigilancia', 'Zona de lavandería', 'Piso 6', 'Tipo de parqueadero propio', 'Ascensor', 'Baños de servicio', 'Parqueadero visitantes', 'Con terraza', 'Conjunto cerrado', 'Portería', 'Salón comunal', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Ubicado en edificio', 'Zona campestre', 'Zona comercial', 'Zona residencial']","['Baño auxiliar', 'Características del parqueadero cubierto', 'Chimenea', 'Citófonos', 'Cocina integral', 'Cuarto de servicio', 'Estudio o biblioteca', 'Piso en madera', 'Vigilancia', 'Zona de lavandería', 'Piso 6', 'Tipo de parqueadero propio', 'Ascensor', 'Baños de servicio', 'Parqueadero visitantes', 'Con terraza', 'Conjunto cerrado', 'Portería', 'Salón comunal', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Ubicado en edificio', 'Zona campestre', 'Zona comercial', 'Zona residencial']",1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2023-11-22,duitama
"Casa en Venta, Salesiano",MC4587631,Salesiano,$540.000.000,Más de 20 años,210 m²,210 m²,$100.000,Preciosa Casa Remodelada Esquinera interna en Conjunto Cerrado. Excelentes terminados. Pisos y baños en Porcelanato.  Persianas en Madera Pentagrama. Buena iluminación natural. Video Portero. A cinco cuadras de Plaza de los Libertadores. Cerca a Colegios y Centro Comercial Innovo.   ,4,3,3,"['Características del parqueadero descubierto', 'Chimenea', 'Citófonos', 'Cocina integral', 'Estudio o biblioteca', 'Piso en madera', 'Piso en porcelanato', 'Zona de lavandería', 'Piso 2', 'Patio', 'Tipo de parqueadero propio', 'Depósito o cuarto útil', 'Jardín', 'Conjunto cerrado', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Zona residencial']","['Características del parqueadero descubierto', 'Chimenea', 'Citófonos', 'Cocina integral', 'Estudio o biblioteca', 'Piso en madera', 'Piso en porcelanato', 'Zona de lavandería', 'Piso 2', 'Patio', 'Tipo de parqueadero propio', 'Depósito o cuarto útil', 'Jardín', 'Conjunto cerrado', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Zona residencial']",0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2023-11-22,duitama
