Name,ID,Barrio,Precio,Edad,Area Construida,Area Total,Parking/admin_value,Descripcion,Estrato,Habitaciones,Baños,Other Variable,list,Parqueadero visitantes,Piso 2,Terraza/Balcón balcón,Cerca centros comerciales,Cerca colegios / universidades,Cocina integral,Tipo de estufa gas,Sobre vía secundaria,Zonas verdes,Ascensor,Baño auxiliar,Salón comunal,Sobre vía principal,Tipo de casa tradicional,Acceso para discapacitados,Vista panorámica,Estudio o biblioteca,Portería,Zona de BBQ,Instalación de gas natural,Vigilancia,Conjunto cerrado,Cerca transporte público,Deposito 1,Apto para niños,Piso 5,Tipo de lote lote vacío,Tipo de comedor sala comedor,Vista exterior,Características del parqueadero cubierto,Vigilancia 24hrs,Piso 3,Citófonos,Zona de lavandería,Piso 1,Tipo de parqueadero propio,Piso en baldosa,Baños de servicio,Calentador gas,Parqueadero cubierto,Jardín,Cuarto de servicio,Cerca supermercados,Patio,Zona residencial,Tipo de cocina lineal,Número de Ascensores 1,Comedor auxiliar,Chimenea,Circuito cerrado de TV,Tipo de parqueadero independiente,Zona para niños,Hall de alcobas,Cerca parques,date,city
Apartamento en Venta,10662-M4641330,,$130.000,Entre 0 y 5 años,55 m²,55 m²,,"3 acogedoras habitaciones, cada una con su propio closet, brindándote espacio para organizar. Además, cuenta con 2 baños para mayor comodidad. La sala comedor es un espacio idealmente amplio para compartir con la familia y recibir a tus invitados. La cocina semiintegral está equipad, cuenta con una zona de lavado. La ubicación de este apartamento es estratégica, cercana a importantes vías como la Avenida Circunvalar y la Avenida 4.  312
366
10
25",3,3,2,"['Apto para niños', 'Comedor auxiliar', 'Cuarto de servicio', 'Hall de alcobas', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 2', 'Piso 5', 'Calentador gas', 'Tipo de cocina lineal', 'Tipo de comedor sala comedor', 'Tipo de estufa electrica', 'Vista exterior', 'Vista panorámica', 'Conjunto cerrado', 'Número de Ascensores 0', 'Terraza/Balcón ninguno', 'Vigilancia 24hrs', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Sobre vía principal', 'Sobre vía secundaria']","['Apto para niños', 'Comedor auxiliar', 'Cuarto de servicio', 'Hall de alcobas', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 2', 'Piso 5', 'Calentador gas', 'Tipo de cocina lineal', 'Tipo de comedor sala comedor', 'Tipo de estufa electrica', 'Vista exterior', 'Vista panorámica', 'Conjunto cerrado', 'Número de Ascensores 0', 'Terraza/Balcón ninguno', 'Vigilancia 24hrs', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Sobre vía principal', 'Sobre vía secundaria']",0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,2024-01-14,duitama
"Lote o Casalote en Venta, Media Luna",13873-M4728468,Media Luna,$500.000.000,Más de 20 años,0 m²,1 m²,$1,"Muy buen lote vacío de 268 m2, ubicado estratégicamente sobre la carrera 20 costado Norte, en el retorno hacia el occidente. Frente de 9 metros x 30 de fondo. Edificable de 3 a 8 pisos. Cuenta con los servicios de acueducto, energía y aseo. Ubicado en una zona de alta valorización y con buenos e interesantes  futuros proyectos, buen transporte público y comercio, Se cuenta con avalúo y estudio de suelos. Uso en multifamiliar y comercio en primeros pisos. Zona de desarrollo. Muy buena inversión.",4,,,"['Ancho 9 m', 'Fondo 30 m', 'Tipo de lote lote vacío', 'Area lote 270 m²', 'Sobre vía principal']","['Ancho 9 m', 'Fondo 30 m', 'Tipo de lote lote vacío', 'Area lote 270 m²', 'Sobre vía principal']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-14,duitama
"Apartamento en Venta, Glorieta San Jose",11013-M4629463,Glorieta San Jose,$193.632.000,Entre 0 y 5 años,42 m²,42 m²,1,"vc Mirador del Valle permite que las familias vivan en un lugar donde la naturaleza y el entretenimiento al aire libre son de gran importancia, generando espacios diseñados para cada miembro de la familia con el fin de poder compartir momentos inolvidables. Datos Generales Proyecto de 3 torres de 42 apartamentos cada una 1 garaje privado por apartamento 7 pisos por torre Apartamentos de  42m2   60m2 a 66m2 Aptos de 1 y 3 habitaciones Zonas Sociales  Lobby Salón de Eventos Gimnasio Mundo Niños  Juegos Infantiles Senderos Naturales Salón del Billar BBQ s al aire libre Parqueaderos de Bicicletas Junto a Alameda sobre el Río",3,1,2,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-14,duitama
"Casa en Venta, Solano",10278-311065182,Solano,$735.000.000,Más de 20 años,234 m²,210 m²,1,"Casa esquinera en el barrio Solano de Duitama. Predio de tres niveles, con 5 habitaciones, 2 baños, baño social, habitación y baño de servicio, sala con chimenea, comedor, cocina, patio de ropas, estudio, garaje y antejardín. Esta casa se encuentra ubicada en un importante y dinámico sector de la cuidad, frente al parque Solano y en la zona de influencia de los Centros Comerciales Innovo y Solano.",4,5,2,"['Baño auxiliar', 'Cuarto de servicio', 'Estudio o biblioteca', 'Parqueadero cubierto', 'Instalación de gas natural', 'Tipo de cocina lineal', 'Tipo de comedor sala comedor', 'Tipo de parqueadero independiente', 'Tipo acabado de piso otro', 'Tipo de piso en alcobas otro', 'Tipo de piso en comedor otro', 'Tipo de piso en estudio otro', 'Tipo de piso en sala otro', 'Baños de servicio', 'Jardín', 'Vigilancia 0', 'Cerca centros comerciales', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público']","['Baño auxiliar', 'Cuarto de servicio', 'Estudio o biblioteca', 'Parqueadero cubierto', 'Instalación de gas natural', 'Tipo de cocina lineal', 'Tipo de comedor sala comedor', 'Tipo de parqueadero independiente', 'Tipo acabado de piso otro', 'Tipo de piso en alcobas otro', 'Tipo de piso en comedor otro', 'Tipo de piso en estudio otro', 'Tipo de piso en sala otro', 'Baños de servicio', 'Jardín', 'Vigilancia 0', 'Cerca centros comerciales', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2024-01-14,duitama
"Lote o Casalote en Venta, Las Vegas",MC4725452,Las Vegas,$360.000.000,150 m²,6400 m²,,,"Espectacular Casa - Finca ubicada en la vereda Sirata. Muy cerca de la ciudad de Duitama. El lote tiene casa, patio amplio, cocina de leña exterior, huerta y galpones para adecuar y tener gallinas ponedoras o criar pollos de engorde. La casa tiene 3 habitaciones, 3 baños, un balcón amplio que abarca todas las habitaciones, 2 salas amplias. La buseta te deja a tan solo 5 min de caminata",1,,,"['Con vivienda', 'Fondo 150 m', 'Piso 2', 'Patio', 'Esquinero', 'Zonas verdes', 'Cerca transporte público']","['Con vivienda', 'Fondo 150 m', 'Piso 2', 'Patio', 'Esquinero', 'Zonas verdes', 'Cerca transporte público']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-01-14,duitama
"Casa en Venta, Duitama",418-M2154137,Duitama,$2.300.000.000,Entre 0 y 5 años,520 m²,520 m²,$600.000,Excelente casa campestre en conjunto cerrado en Duitama. Cocina en Isla. 4 habitaciones cada una con baño. La principal con jacuzzi. pisos en madera. Excelentes detalles arquitectónicos y terminados. Zona para BBQ. 5 parqueaderos. 520 metros cuadrados construidos sobre lote de 1400 m2. Rodeado de naturaleza. amplias zonas verdes. Capilla,5,4,5,"['Apto para niños', 'Alarma', 'Calefacción', 'Chimenea', 'Citófonos', 'Comedor auxiliar', 'Cuarto de servicio', 'Estudio o biblioteca', 'Parqueadero cubierto', 'Hall de alcobas', 'Jacuzzi', 'Equipado / amoblado', 'Puerta seguridad', 'Zona de lavandería', 'Instalación de gas natural', 'Número de líneas teléfonicas 1', 'Calentador gas', 'Tipo de casa condominio', 'Tipo de cocina isla', 'Tipo de comedor comedor independiente', 'Deposito 2', 'Tipo de estufa gas', 'Tipo de parqueadero independiente', 'Tipo acabado de piso madera', 'Tipo de piso en alcobas madera', 'Tipo de piso en comedor madera', 'Tipo de piso en estudio madera', 'Tipo de piso en sala madera', 'Vista exterior', 'Area lote 1400 m²', 'Area Terraza/Balcón 10 m²', 'Acceso para discapacitados', 'Circuito cerrado de TV', 'Jardín', 'Vista panorámica', 'Conjunto cerrado', 'Esquinero', 'Terraza/Balcón balcón', 'Vigilancia 24hrs', 'Salón comunal', 'Sendero peatonal', 'Zona de BBQ', 'Zona para niños', 'Zonas verdes', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']","['Apto para niños', 'Alarma', 'Calefacción', 'Chimenea', 'Citófonos', 'Comedor auxiliar', 'Cuarto de servicio', 'Estudio o biblioteca', 'Parqueadero cubierto', 'Hall de alcobas', 'Jacuzzi', 'Equipado / amoblado', 'Puerta seguridad', 'Zona de lavandería', 'Instalación de gas natural', 'Número de líneas teléfonicas 1', 'Calentador gas', 'Tipo de casa condominio', 'Tipo de cocina isla', 'Tipo de comedor comedor independiente', 'Deposito 2', 'Tipo de estufa gas', 'Tipo de parqueadero independiente', 'Tipo acabado de piso madera', 'Tipo de piso en alcobas madera', 'Tipo de piso en comedor madera', 'Tipo de piso en estudio madera', 'Tipo de piso en sala madera', 'Vista exterior', 'Area lote 1400 m²', 'Area Terraza/Balcón 10 m²', 'Acceso para discapacitados', 'Circuito cerrado de TV', 'Jardín', 'Vista panorámica', 'Conjunto cerrado', 'Esquinero', 'Terraza/Balcón balcón', 'Vigilancia 24hrs', 'Salón comunal', 'Sendero peatonal', 'Zona de BBQ', 'Zona para niños', 'Zonas verdes', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']",0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,2024-01-14,duitama
"Apartamento en Venta, Av Las Americas",5483-M4744606,Av Las Americas,$700.000.000,Más de 20 años,504.61 m²,361.65 m²,,"Apartamento tipo penthouse con 362M construidos mas el uso exclusivo de 143M2 de terrazas. Consta en el primer nivel de sala, bar, comedor, cocina integral con comedor auxiliar, cuarto y baño de servicio, baño social, patio o zona de lavandería, acceso al jardín o zona verde del primer piso. En el siguiente nivel, hay dos salas o estar de tv, cuatro habitaciones con baño y acceso todas a terraza. En el último nivel o tercer piso está la habitación principal con jacuzzi, amplio baño y terraza. Todos los espacios del apartamento ofrecen acceso a terrazas, luz natural y amplios espacios para vivir comodamente. Está ubicado sobre la Avenida de las Américas, punto estratégico en el que confluye vivienda, comercio y prestación de servicios con fácil acceso hacia y desde cualquier punto de la ciudad.
",5,5,5,['Piso 2'],['Piso 2'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-14,duitama
"Apartamento en Venta, Primero de mayo",MC4730343,Primero de mayo,$180.000.000,Entre 5 y 10 años,69 m²,69 m²,$130.000,"Hermoso apartamento con gran iluminación en conjunto ubicado cerca al centro de Duitama, con garaje cubierto y amplio, consta de 3 habitaciones con closet, Sala comedor con mueble de entretenimiento, Cocina totalmente Integral tipo americano con barra en cascada de granito y lámparas, zona de lavado con separación en vidrio templado negro, estudio con biblioteca y escritorio, dos baños con división en vidrio templado,  mueble de lavamanos y espejos, y el garaje subterráneo más amplio del conjunt",2,3,2,"['Baño auxiliar', 'Características del parqueadero cubierto', 'Citófonos', 'Cocina tipo americano', 'Cocina integral', 'Estudio o biblioteca', 'Piso en baldosa', 'Zona de lavandería', 'Piso 5', 'Tipo de parqueadero propio', 'Parqueadero visitantes', 'Conjunto cerrado', 'Portería', 'Salón comunal', 'Zona para niños', 'Zonas verdes', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Zona residencial']","['Baño auxiliar', 'Características del parqueadero cubierto', 'Citófonos', 'Cocina tipo americano', 'Cocina integral', 'Estudio o biblioteca', 'Piso en baldosa', 'Zona de lavandería', 'Piso 5', 'Tipo de parqueadero propio', 'Parqueadero visitantes', 'Conjunto cerrado', 'Portería', 'Salón comunal', 'Zona para niños', 'Zonas verdes', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Zona residencial']",1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2024-01-14,duitama
"Bodega en Venta, La Milagrosa",10151-M4629380,La Milagrosa,$107.000.000,Entre 10 y 20 años,89.96 m²,89.96 m²,,"815-3745 D.C COLOMBIA S.A.S. Vende bodega con un area de 89.96 Mt2. Se encuentra en zona residencial y comercial, tiene una variedad de desarrollo y cuenta con vias principales y transporte publico. CORRESPONDE A UNA PARTICIPACIN DE 8,63 POR CIENTO.",2,,,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-14,duitama
"Casa en Venta, La floresta",MC4735033,La floresta,$190.000.000,Más de 20 años,133 m²,133 m²,1,"CASA PARA REMODELAR EN VENTA BARRIO LA FLORESTA DUITAMA  Casa para remodelar en el Barrio la Floresta 133 m2. Estrato 2 Ubicado cerca de la Av. de las Américas, Clínica Boyacá, zona universitaria con vías pavimentadas",2,5,3,"['Características del parqueadero cubierto', 'Piso 2', 'Tipo de parqueadero propio']","['Características del parqueadero cubierto', 'Piso 2', 'Tipo de parqueadero propio']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-14,duitama
