Name,ID,Barrio,lat,lon,tipo,Precio,Edad,Area Construida,Area Total,Parking/admin_value,Descripcion,Estrato,Habitaciones,Baños,Other Variable,list,Esquinero,Piso 0,Portería,Zona comercial,Patio,Tipo de piso en sala cerámica,Ascensor,Cerca centros comerciales,Número de local 0,Chimenea,Parqueadero visitantes,Vigilancia,Tipo de piso en comedor cerámica,Piso 5,Piso 2,Area lote 300 m²,Tipo de cortinas persianas,Jacuzzi,Cocina tipo americano,Closets 4,Ubicado en edificio,Cerca parques,Depósito o cuarto útil,Número de Ascensores 0,Tipo acabado de piso cerámica,Tipo acabado de piso laminado,Tipo de estufa gas,Cuarto de servicio,Sobre vía secundaria,Calefacción,Piso en baldosa,Tipo de piso en sala laminado,Piso en porcelanato,Cerca colegios / universidades,Tipo de comedor sala comedor,Tipo de cocina abierta,Vigilancia 24hrs,Tipo de lote lote vacío,Comedor auxiliar,Apto para niños,Closets 3,Zonas verdes,Piso 6,Tipo de local en centro comercial,Cerca supermercados,Zona residencial,Piso 3,Número de Ascensores 2,Sobre vía principal,Calentador gas,Número de líneas teléfonicas 0,Número de Ascensores 1,Baño auxiliar,Características del parqueadero descubierto,Zona de lavandería,Tipo de piso en estudio laminado,Tipo de parqueadero propio,Baños de servicio,Piso 4,Piso 1,Zona campestre,Vigilancia 0,Tipo acabado de piso baldosa,Número de local 1,Vivienda bifamiliar,Piso en madera,Salón comunal,Vista panorámica,Tipo de comedor comedor independiente,Equipado / amoblado,Características del parqueadero cubierto,Parqueadero cubierto,Cocina integral,Hall de alcobas,Tipo de casa tradicional,Estudio o biblioteca,Citófonos,Vista exterior,Con terraza,Zona de BBQ,Tipo de piso en alcobas laminado,Sauna / turco,Lote vacio,Alarma,Instalación de gas natural,Acceso para discapacitados,Cerca transporte público,Gimnasio,Jardín,Deposito 1,Zona para niños,Circuito cerrado de TV,Conjunto cerrado,Tipo de cocina paralela,Tipo de cocina lineal,Terraza/Balcón balcón,Deposito 0,Tipo de casa condominio,Piscina,date,city
"Apartamento en Venta, La María",MC3408256,La Maria,5.550498,-73.359543,apartamento,$195.000.000,Más de 20 años,67 m²,67.23 m²,$180.00 ,Fácil acceso a vías nacionales. precio negociable.,4,3,2,"['Características del parqueadero descubierto', 'Citófonos', 'Cocina integral', 'Piso en porcelanato', 'Vigilancia', 'Zona de lavandería', 'Piso 2', 'Tipo de parqueadero comunal', 'Conjunto cerrado', 'Portería', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Ubicado en edificio', 'Zona residencial']","['Características del parqueadero descubierto', 'Citófonos', 'Cocina integral', 'Piso en porcelanato', 'Vigilancia', 'Zona de lavandería', 'Piso 2', 'Tipo de parqueadero comunal', 'Conjunto cerrado', 'Portería', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Ubicado en edificio', 'Zona residencial']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11/22/2023,tunja
"Apartamento en Venta, Mesopotamia",12373-M4465807,Mesopotamia,5.545703,-73.35434,apartamento,$220.000.000,Entre 10 y 20 años,74 m²,70 m²,$245.00 ,"¿ Bienvenido a Torre Arte 3, su nuevo hogar en la emocionante ciudad de Tunja. Este apartaestudio, bellamente terminado y con una ubicación privilegiada en el codiciado barrio de Mesopotamia, promete ofrecerle una vida de lujo y comodidad. ¿

¿ Imagine un espacio acogedor de 20.18 m2, perfectamente diseñado para brindarle todo lo que necesita. Despierte cada día en su habitación súper iluminada, prepare su desayuno en la cocina integral y termine su día con un baño relajante en su baño de alta calidad. ¿

¿ El barrio de Mesopotamia es conocido por su ambiente tranquilo y residencial, perfecto para aquellos que buscan un equilibrio entre la vida en la ciudad y la tranquilidad del hogar. Con la Universidad Uptc, la Villa Olímpica y varios centros comerciales a pocos minutos, todo lo que necesita está al alcance de su mano. ¿¿

¿ No espere más para tomar el control de su futuro financiero. En lugar de pagar alquiler, ¿por qué no invertir en su propio hogar? Contacte con nosotros ",2,2,2,"['Apto para niños', 'Citófonos', 'Tipo de cortinas ninguna', 'Estudio o biblioteca', 'Parqueadero cubierto', 'Hall de alcobas', 'Equipado / amoblado', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 1', 'Piso 5', 'Calentador gas', 'Tipo de cocina lineal', 'Tipo de comedor sala comedor', 'Deposito 0', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Tipo acabado de piso cerámica', 'Tipo de piso en alcobas laminado', 'Tipo de piso en comedor cerámica', 'Tipo de piso en estudio cerámica', 'Tipo de piso en sala cerámica', 'Vista exterior', 'Ascensor', 'Acceso para discapacitados', 'Circuito cerrado de TV', 'Vista panorámica', 'Conjunto cerrado', 'Número de Ascensores 1', 'Vigilancia 24hrs', 'Salón comunal', 'Zona de BBQ', 'Zona para niños', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']","['Apto para niños', 'Citófonos', 'Tipo de cortinas ninguna', 'Estudio o biblioteca', 'Parqueadero cubierto', 'Hall de alcobas', 'Equipado / amoblado', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 1', 'Piso 5', 'Calentador gas', 'Tipo de cocina lineal', 'Tipo de comedor sala comedor', 'Deposito 0', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Tipo acabado de piso cerámica', 'Tipo de piso en alcobas laminado', 'Tipo de piso en comedor cerámica', 'Tipo de piso en estudio cerámica', 'Tipo de piso en sala cerámica', 'Vista exterior', 'Ascensor', 'Acceso para discapacitados', 'Circuito cerrado de TV', 'Vista panorámica', 'Conjunto cerrado', 'Número de Ascensores 1', 'Vigilancia 24hrs', 'Salón comunal', 'Zona de BBQ', 'Zona para niños', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Sobre vía secundaria']",0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,11/22/2023,tunja
"Casa en Venta, La estancia del roble",MC4673692,La estancia del roble,,,apartamento,$244.000.000,Remodelado,111 m²,111 m²,1,"Casa súper amplia en conjunto residencial altos de la colina , nos quedan 2 para la venta , están equipadas con todo están nuevas totalmente terminadas y para entrega inmediata ",3,3,3,"['Características del parqueadero cubierto', 'Alarma', 'Chimenea', 'Cocina integral', 'Cuarto de servicio', 'Piso en baldosa', 'Vigilancia', 'Zona de lavandería', 'Piso 3', 'Patio', 'Tipo de parqueadero propio', 'Baños de servicio', 'Depósito o cuarto útil', 'Jardín', 'Parqueadero visitantes', 'Conjunto cerrado', 'Portería', 'Salón comunal', 'Zona de BBQ', 'Zona para niños', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Zona campestre', 'Zona residencial']","['Características del parqueadero cubierto', 'Alarma', 'Chimenea', 'Cocina integral', 'Cuarto de servicio', 'Piso en baldosa', 'Vigilancia', 'Zona de lavandería', 'Piso 3', 'Patio', 'Tipo de parqueadero propio', 'Baños de servicio', 'Depósito o cuarto útil', 'Jardín', 'Parqueadero visitantes', 'Conjunto cerrado', 'Portería', 'Salón comunal', 'Zona de BBQ', 'Zona para niños', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Zona campestre', 'Zona residencial']",0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,11/22/2023,tunja
"Apartamento en Venta, El Dorado",10159-M4612893,El Dorado,5.545188,-73.348133,apartamento,$240.000.000,Entre 5 y 10 años,76.53 m²,73 m²,$208.20 ,"Código 7003FR521 Excelente oportunidad de adquirir apartamento con una encantadora vista hacia el sur de la ciudad de Tunja, cerca de Universidades, Centros comerciales, cuenta con buen transporte público y es una zona de alta valorización el cual consta de tres habitaciones con closet, habitación principal con baño privado y Jacuzzi, estudio con calentador de ambiente, sala- comedor con chimenea, baño social, cocina integral, zona de lavandería, calentador a gas natural, balcón, citó fono, parqueadero, Portería, Vigilancia las 24 horas, Salón Social, parque infantil, cancha múltiple, cancha de básquetbol, cancha de tenis, piscina en la terraza, Sauna, Turco y GYM.

Se entrega con bases en madera para TV, encortinado con blackout en habitaciones y Panel Japonés en sala comedor y lo mejor de todo es que es negociable. Quieres obtener más información, contáctanos para ayudarte a elegir el espacio que buscas…
",4,3,2,"['Baño auxiliar', 'Calefacción', 'Chimenea', 'Citófonos', 'Cocina integral', 'Comedor auxiliar', 'Estudio o biblioteca', 'Hall de alcobas', 'Jacuzzi', 'Sauna / turco', 'Zona de lavandería', 'Piso 6', 'Tipo acabado de piso cerámica', 'Ascensor', 'Baños de servicio', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Piscina', 'Con terraza', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Terraza/Balcón balcón', 'Cancha(s) de basket', 'Cancha(s) de fútbol', 'Cancha(s) de tennis', 'Gimnasio', 'Salón comunal', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Zona residencial']","['Baño auxiliar', 'Calefacción', 'Chimenea', 'Citófonos', 'Cocina integral', 'Comedor auxiliar', 'Estudio o biblioteca', 'Hall de alcobas', 'Jacuzzi', 'Sauna / turco', 'Zona de lavandería', 'Piso 6', 'Tipo acabado de piso cerámica', 'Ascensor', 'Baños de servicio', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Piscina', 'Con terraza', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Terraza/Balcón balcón', 'Cancha(s) de basket', 'Cancha(s) de fútbol', 'Cancha(s) de tennis', 'Gimnasio', 'Salón comunal', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Zona residencial']",0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,11/22/2023,tunja
"Local Comercial en Venta, Cc Unicentro Tunja",12041-M4434930,Cc Unicentro Tunja,,,local,$1.400.000.000,Entre 10 y 20 años,101.19 m²,101.19 m²,$2.600.000,"Venta de espectacular local en el centro comercial Unicentro Tunja, tiene 1 baño.",3,,1,"['Tipo acabado de piso otro', 'Vigilancia 0', 'Cerca transporte público', 'Zona comercial']","['Tipo acabado de piso otro', 'Vigilancia 0', 'Cerca transporte público', 'Zona comercial']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11/22/2023,tunja
"Lote o Casalote en Venta, TUNJA",5031-9658,TUNJA,,,lote,$9.180.000.000,Entre 0 y 5 años,9200 m²,9200 m²,,"ESPECTACULAR OPORTUNIDAD  VENDEMOS LOTE EN TUNJA 9.200 MTS SOBRE VIA PRINCIPAL CON USO RESIDENCIAL,FRENTE AL EDIFICIO ALTEZZA. IDEAL PARA CONSTRUCTORES ALTURA APROXIMADA DE CONTRUCCION 20 PISOS. SE PERMUTA POR PREDIOS EN BOGOTA Y ALREDEDORES.",4,,,"['Tipo de lote lote vacío', 'Area lote 9200 m²']","['Tipo de lote lote vacío', 'Area lote 9200 m²']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/22/2023,tunja
"Apartamento en Venta, Mesopotamia",10159-M4684934,Mesopotamia,5.545703,-73.35434,apartamento,$134.000.000,Entre 5 y 10 años,35 m²,36 m²,$40.00 ,"Código 696FR4873 Excelente aparta estudio en el barrio Mesopotamia, sector residencial en la mejor zona de la ciudad. Consta de una habitación, baño, sala comedor, cocina integral, área de lavado y excelente iluminación. Muy cerca al centro comercial La Sexta, UPTC, estadio, coliseo, supermercados y zona comercial. Fácil acceso a transporte público. 
",5,1,1,"['Calefacción', 'Citófonos', 'Cocina integral', 'Zona de lavandería', 'Piso 3', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Zona residencial']","['Calefacción', 'Citófonos', 'Cocina integral', 'Zona de lavandería', 'Piso 3', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Zona residencial']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11/22/2023,tunja
"Lote o Casalote en Venta, Tunja",5031-M4573787,Tunja,,,lote,$8.920.000.000,Entre 5 y 10 años,0 m²,0 m²,," ESPECTACULAR OPORTUNIDAD  VENDEMOS LOTE EN TUNJA 14.900 MTS APROXIMADAMENTE SOBRE VIA PRINCIPAL CON USO RESIDENCIAL, CERCA A LA ESTACION DE POLICIA Y ESTADIO DE FÚTBOL. IDEAL PARA CONSTRUCTORES ALTURA APROXIMADA DE CONTRUCCION 20 PISOS. SE RECIBEN PREDIOS EN BOGOTA COMO PARTE DE PAGO.",4,,,"['Lote vacio', 'Tipo de lote lote vacío']","['Lote vacio', 'Tipo de lote lote vacío']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/22/2023,tunja
"Casa en Venta, Los Muiskas",11295-M4006618,Los Muiskas,5.571878,-73.338583,apartamento,$250.000.000,Entre 5 y 10 años,80 m²,80 m²,1,"Gran oportunidad, se vende casa al norte de Tunja, en el primer piso se encuentra cocina integral, sala comedor, estudio, baño social, bodega pequeña y patio de ropas con su división, domo en policarbonato y reja. Barandas en vidrio templado y garaje. En el segundo piso se haya 2 habitaciones cada una con baño privado, divisiones en vidrio templado, closet, persianas, blackout y rejas  en todas las ventanas, cuenta con todos los servicios.  A  2 cuadras de la vía norte salida Tunja-Paipa, un sector con gran desarrollo y valorización.",3,2,3,"['Parqueadero cubierto', 'Zona de lavandería', 'Tipo de casa tradicional', 'Deposito 1', 'Tipo de parqueadero propio']","['Parqueadero cubierto', 'Zona de lavandería', 'Tipo de casa tradicional', 'Deposito 1', 'Tipo de parqueadero propio']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11/22/2023,tunja
"Casa en Venta, Centro historico",3072-M3395906,centro historico,5.532949,-73.360721,apartamento,$1.200.000.000,Más de 20 años,466 m²,466 m²,3," venta casa, centro historico de tunja, para vivienda o empresa, 466 mts2, La casa tiene una oficina con baño privado independiente, cuenta con sala comedor amplia,  un baño para el área social ,patio de jardín externo,  la cocina y comedor auxiliar,  despensa, alcoba de servicio y baño, patio independiente para lavado de ropa cubierto, en el segundo piso 4 alcobas con dos baños uno privado para la alcoba principal, también cuenta con área de terraza cubierta con marquesina, tiene cuarto de estudio amplio, Tiene tres garajes uno cubierto,La casa tiene dos plantas que puede ser ampliada para un tercer piso. mayor informacion llamar a elizabeth cely a el 316 dos setenta y nueve 77 cuarenta y uno.",3,4,4,"['Parqueadero cubierto', 'Zona de lavandería', 'Instalación de gas natural', 'Calentador gas', 'Tipo de casa tradicional', 'Tipo de cocina abierta', 'Tipo de comedor sala comedor', 'Deposito 1', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Vista exterior', 'Area lote 300 m²']","['Parqueadero cubierto', 'Zona de lavandería', 'Instalación de gas natural', 'Calentador gas', 'Tipo de casa tradicional', 'Tipo de cocina abierta', 'Tipo de comedor sala comedor', 'Deposito 1', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Vista exterior', 'Area lote 300 m²']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11/22/2023,tunja
