Name,ID,Barrio,lat,lon,tipo,Precio,Edad,Area Construida,Area Total,Parking/admin_value,Descripcion,Estrato,Habitaciones,Baños,Other Variable,list,Tipo de piso en comedor cerámica,Se permite fumar,Parqueadero visitantes,Piso 2,Calefacción,Terraza/Balcón balcón,Alarma,Tipo de piso en alcobas laminado,Cerca centros comerciales,Tipo de piso en comedor laminado,Número de local 0,Cocina integral,Cerca colegios / universidades,Tipo de piso en sala cerámica,Tipo de estufa gas,Sobre vía secundaria,Zonas verdes,Esquinero,Número de local 1,Cocina tipo americano,Número de Ascensores 0,Tipo de cocina abierta,Tipo de piso en estudio cerámica,Ascensor,Baño auxiliar,Salón comunal,Sobre vía principal,Tipo acabado de piso laminado,Tipo de casa tradicional,Tipo de local en centro comercial,Acceso para discapacitados,Sauna / turco,Lote vacio,Closets 4,Vista panorámica,Tipo de piso en estudio laminado,Tipo acabado de piso cerámica,Portería,Estudio o biblioteca,Tipo de cocina paralela,Tipo de comedor comedor independiente,Depósito o cuarto útil,Zona de BBQ,Terraza/Balcón terraza,Vigilancia,Instalación de gas natural,Conjunto cerrado,Cerca transporte público,Deposito 1,Apto para niños,Piso 5,Vigilancia 0,Tipo de lote lote vacío,Zona comercial,Vista exterior,Tipo de comedor sala comedor,Deposito 0,Características del parqueadero cubierto,Vigilancia 24hrs,Sendero peatonal,Piso 3,Citófonos,Zona de lavandería,Piso 0,Zona campestre,Equipado / amoblado,Piso 1,Tipo de parqueadero propio,Ubicado en edificio,Tipo de cortinas persianas,Tipo de piso en sala laminado,Jacuzzi,Piso en baldosa,Area lote 300 m²,Tipo acabado de piso baldosa,Piso en madera,Tipo de casa condominio,Baños de servicio,Calentador gas,Gimnasio,Piso 7,Parqueadero cubierto,Jardín,Cuarto de servicio,Cerca supermercados,Vivienda bifamiliar,Número de líneas teléfonicas 0,Patio,Zona residencial,Piso en porcelanato,Tipo de cocina lineal,Número de Ascensores 1,Comedor auxiliar,Chimenea,Circuito cerrado de TV,Piso 4,Zona para niños,Hall de alcobas,Piscina,Cerca parques,Con terraza,date,city
"Apartamento en Venta, Alameda de Unicentro",MC4538304,unicentro,5.547044,-73.349235,apartamento,$280.000.000,Entre 0 y 5 años,52 m²,50 m²,$185.00 ,"Excelente ubicación, Zona Residencial, Cerca a Centros Comerciales (Boulevard, Unicentro, Viva Tunja), Universidades (UniBoyacá, Santo Tomas), Zonas Escolares, Campos deportivos. Vigilancia las 24 Horas. Sauna, Jacuzzi, Salón Social, Parque Infantil, Mesa PinPong, Apto con Cortinas Panel Japones, BlackOuts, Sala Comedor con Pisos en Porcelanato, 2 Baños con Mueble y División en Vidrio, 2 Habitaciones con Closets, Parqueadero Privado y para Vistantes, Ascensor, Deposito.",5,2,2,"['Baño auxiliar', 'Características del parqueadero cubierto', 'Citófonos', 'Cocina integral', 'Piso en madera', 'Vigilancia', 'Zona de lavandería', 'Piso 8', 'Tipo de parqueadero propio', 'Ascensor', 'Depósito o cuarto útil', 'Parqueadero visitantes', 'Con terraza', 'Conjunto cerrado', 'Portería', 'Salón comunal', 'Zona para niños', 'Zonas verdes', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Ubicado en edificio', 'Zona comercial', 'Zona residencial']","['Baño auxiliar', 'Características del parqueadero cubierto', 'Citófonos', 'Cocina integral', 'Piso en madera', 'Vigilancia', 'Zona de lavandería', 'Piso 8', 'Tipo de parqueadero propio', 'Ascensor', 'Depósito o cuarto útil', 'Parqueadero visitantes', 'Con terraza', 'Conjunto cerrado', 'Portería', 'Salón comunal', 'Zona para niños', 'Zonas verdes', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Ubicado en edificio', 'Zona comercial', 'Zona residencial']",0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1/14/2024,tunja
"Casa en Venta, Tunja",10159-M4412961,,,,apartamento,$750.000.000,Entre 5 y 10 años,384 m²,1240 m²,2,"Código 6644FR539 Venta de espectacular casa campestre en la vereda San Onofre, a once minutos de la ciudad de Tunja, cuenta con un área de terreno de mil doscientos cincuenta metros cuadrados de los cuales trescientos ochenta y cuatro metros están construidos, servicios públicos de agua y luz, la casa consta de tres habitaciones, tres baños, sala-comedor, zona de estudio, sala de estar, zona de lavandería, cocina equipada, dos parqueaderos cubiertos y espacio para más de diez vehículos, tiene sistema de seguridad de sensores, cámaras y alarma, el acceso a la casa está a cien metros de la doble calzada y se encuentra cerca de estaciones de gasolina, colegios, restaurantes y centros de eventos.

Contáctanos para obtener mayor información…
",2,3,3,"['Baño auxiliar', 'Comedor auxiliar', 'Estudio o biblioteca', 'Hall de alcobas', 'Zona de lavandería', 'Piso 2', 'Tipo acabado de piso cerámica', 'Area lote 1250 m²', 'Baños de servicio', 'Jardín', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Zona de BBQ', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca transporte público', 'Sobre vía principal', 'Zona campestre', 'Zona residencial']","['Baño auxiliar', 'Comedor auxiliar', 'Estudio o biblioteca', 'Hall de alcobas', 'Zona de lavandería', 'Piso 2', 'Tipo acabado de piso cerámica', 'Area lote 1250 m²', 'Baños de servicio', 'Jardín', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Zona de BBQ', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca transporte público', 'Sobre vía principal', 'Zona campestre', 'Zona residencial']",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1/14/2024,tunja
"Casa en Venta, Arboleda",10159-M4745038,Arboleda,5.572896,-73.333148,apartamento,$575.000.000,Entre 5 y 10 años,144 m²,140 m²,$420.00 ,"Código 7177FR906 Excelente oportunidad de adquirir casa en conjunto cerrado en uno de los sectores más cotizados de la ciudad de Tunja, con fácil acceso de transporte público; a pocas cuadras del Colegio de los Ángeles, Clínica Medilaser, la Universidad de Boyacá y Green Hills, esta consta de tres alcobas con closet, la habitación principal con vestier y baño privado, dos baños sociales, cocina integral tipo isla, sala-comedor con chimenea, estudio, zona de lavandería y dos parqueaderos.

¡Lo mejor de todo... se entrega encortinada, es negociable y se recibe vehículo en parte de pago!!! Quieres obtener más información, contáctanos para ayudarte a elegir el espacio que buscas…
",5,3,3,"['Baño auxiliar', 'Calefacción', 'Chimenea', 'Citófonos', 'Cocina tipo americano', 'Cocina integral', 'Comedor auxiliar', 'Estudio o biblioteca', 'Vigilancia', 'Zona de lavandería', 'Piso 2', 'Tipo acabado de piso cerámica', 'Area lote 98 m²', 'Baños de servicio', 'Circuito cerrado de TV', 'Jardín', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Zona campestre', 'Zona residencial']","['Baño auxiliar', 'Calefacción', 'Chimenea', 'Citófonos', 'Cocina tipo americano', 'Cocina integral', 'Comedor auxiliar', 'Estudio o biblioteca', 'Vigilancia', 'Zona de lavandería', 'Piso 2', 'Tipo acabado de piso cerámica', 'Area lote 98 m²', 'Baños de servicio', 'Circuito cerrado de TV', 'Jardín', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Zona campestre', 'Zona residencial']",0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1/14/2024,tunja
"Apartamento en Venta, MALDONADO TUNJA",11295-M4486318,maldonado,5.541316,-73.358413,apartamento,$235.000.000,Entre 5 y 10 años,81 m²,81 m²,1,"Excelente oportunidad de adquirir un sensacional apartamento en venta en el sector Maldonado, ubicado en un lugar central y exclusivo de la ciudad, a pocas cuadras del centro histórico y de la glorieta norte, con cercanía a centros comerciales como Unicentro, el Estadio de la Independencia y a 5 minutos de la Universidad UPTC. El apartamento, libre del ruido del tráfico, cuenta con 3 habitaciones amplias y bien iluminadas con closet, 2 baños, uno en la habitación principal y otro social, sala comedor acogedora y cálida, cocina integral y zona de lavado de ropa. Además, el edificio cuenta con seguridad por cámaras de vigilancia y entrada por pin. Cabe destacar que el apartamento incluye un parqueadero cubierto. ¡No pierdas la oportunidad de vivir en un lugar privilegiado!",3,3,2,"['Zona de lavandería', 'Piso 3', 'Conjunto cerrado']","['Zona de lavandería', 'Piso 3', 'Conjunto cerrado']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/14/2024,tunja
"Casa en Venta, Las Quintas",11295-M3562129,Las Quintas,5.554885,-73.347292,apartamento,$600.000.000,Entre 5 y 10 años,101 m²,101 m²,,"Casa ubicada en el barrio Las Quintas cerca al Club de EBSA y cercano al Centro Comercial Centro Norte, y Viva, igualmente a la Universidad Santo Tomás, en un sector comercial de alta valorización.  Cuenta con un área de 101 m² de 3 pisos compuesta de la siguiente manera: En el primer piso, un local grande con baño; en el segundo piso, cuenta con 3 alcobas con closet, la principal con baño privado, cocina integral tipo americana, sala comedor y baño social; y el tercer piso, cuenta con 2 habitaciones y cuarto estudio con altillo amplio.",5,5,3,"['Zona de lavandería', 'Tipo de casa tradicional']","['Zona de lavandería', 'Tipo de casa tradicional']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/14/2024,tunja
"Casa en Venta, Norte",11295-M3607311,norte,na,na,apartamento,$1.600.000.000,Entre 5 y 10 años,49 m²,49 m²,,"Casa a 2 minutos del norte de Tunja.  El primer piso consta de sala comedor y baño. En el segundo piso hay una habitación, cocina y baño. Cuenta con amplias zonas verdes, zona social, lago, bosque interno y canchas deportivas en construcción.",4,1,2,"['Zona de lavandería', 'Tipo de casa condominio', 'Conjunto cerrado']","['Zona de lavandería', 'Tipo de casa condominio', 'Conjunto cerrado']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/14/2024,tunja
"Casa en Venta, La Florida",MC4738618,La Florida,5.513302,-73.367828,apartamento,$430.000.000,Más de 20 años,252 m²,182 m²,,"Propiedad esquinera, a un costado del Centro comercial Florida Shopping Center Segunda etapa. ¡¡Venta directa!!  El Primer piso cuenta con un amplio espacio de almacenamiento o auditorio con techos altos, 2 baños por genero y oficina. El segundo piso tiene mezzanine con 3 oficinas, baño y cocineta. También puede ser usado como apartamento independiente.  ¿Porqué invertir?  *Excelente valorización  *Ubicación estratégica ¡LLAMANOS! para más información o para conocerlo sin ningún compromiso.",2,4,3,"['Piso 2', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público']","['Piso 2', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público']",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1/14/2024,tunja
"Lote o Casalote en Venta, Vereda Florencia",10278-M4418324,Vereda Florencia,na,na,apartamento,$110.000.000,Entre 0 y 5 años,2123 m²,2123 m²,,"Lotes a 11 km de tunja, por la via a villa de leyva y sobre la carretera pavimentada, complatemente planos con leve inclinacion. super precio. Aptos para vivienda rural. rodeados de naturaleza y con excelente ubicacion, facil acceso a servicios publicos. disponibilidad de servicios publicos y con un gran atratctivo visual debido a su ubicacion priviligiada
",1,,,"['Area lote 2123 m²', 'Zonas verdes']","['Area lote 2123 m²', 'Zonas verdes']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/14/2024,tunja
"Apartamento en Venta, Tunja",10159-M4039417,,,,apartamento,$270.000.000,Entre 10 y 20 años,64 m²,61 m²,$200.00 ,"Código 6194FR156 Excelente oportunidad de adquirir apartamento con una encantadora vista, cerca de Universidades, Centros comerciales, con fácil acceso de transporte público además de ser una zona de alta valorización, este consta de dos habitaciones con closet, habitación principal con baño privado, sala- comedor, balcón, baño social, cocina integral, zona de lavandería, calentador a gas natural, citófono, Portería, Vigilancia las 24 horas, circuito de cámaras en todos los pasillos, ascensor y Salón Social.

¡Quieres obtener más información!!!  contáctanos para ayudarte a elegir el espacio que buscas…
",5,2,2,"['Baño auxiliar', 'Calefacción', 'Citófonos', 'Cocina integral', 'Comedor auxiliar', 'Hall de alcobas', 'Vigilancia', 'Zona de lavandería', 'Piso 2', 'Tipo acabado de piso cerámica', 'Ascensor', 'Baños de servicio', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Terraza/Balcón balcón', 'Salón comunal', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca transporte público', 'Sobre vía principal', 'Zona comercial', 'Zona residencial']","['Baño auxiliar', 'Calefacción', 'Citófonos', 'Cocina integral', 'Comedor auxiliar', 'Hall de alcobas', 'Vigilancia', 'Zona de lavandería', 'Piso 2', 'Tipo acabado de piso cerámica', 'Ascensor', 'Baños de servicio', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Terraza/Balcón balcón', 'Salón comunal', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca transporte público', 'Sobre vía principal', 'Zona comercial', 'Zona residencial']",0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1/14/2024,tunja
"Lote o Casalote en Venta, Tunja",10159-M3883629,,,,apartamento,$15.200.000.000,Entre 0 y 5 años,38000 m²,38000 m²,,"Código 5974FR371 Gran oportunidad de adquirir espectacular lote de expansión urbana con uso de suelo industrial apto para construcción de bodegas, frigorífico, estación de combustible, ganadería, actividades agroindustriales, ubicado sobre la doble calzada vereda Pirgua Bajo, muy cerca al casco urbano de la ciudad de Tunja, cuenta con treinta y ocho mil metros cuadrados, topografía semiplana, cuenta con reservorio y paso de quebrada

¡Libre de hipotecas y lo mejor de todo es negociable!!! Para mayor información contáctanos...
",2,,,"['Area lote 38000 m²', 'Zonas verdes', 'Sobre vía principal']","['Area lote 38000 m²', 'Zonas verdes', 'Sobre vía principal']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/14/2024,tunja
