Name,ID,Barrio,lat,lon,tipo,Precio,Edad,Area Construida,Area Total,Parking/admin_value,Descripcion,Estrato,Habitaciones,Baños,Other Variable,list,Jardín interior,Zona para niños,Número de piso 3,Patio,Circuito cerrado de TV,Apto para niños,Jardines,Terraza/Balcón balcón,Cerca a tiendas de barrio,Con Terraza,Extractor,Número de piso 5,Número de piso 6,Número de Closets 4,Jardín,Vista interior,Número de piso 2,&Aacute;rea del lote 90,Horno,Número de Ascensores 2,Cerca a Jardines y Colegios,Depósito o cuarto útil,Cocina Tipo Americano,Depósito 0,Número local 1,Número local 0,Piscina,Con chimenea,Tipo de parqueadero propio,Fondo 1 m,Tipo local en centro comercial,Tipo de acabado piso cerámica,Conjunto cerrado,Portería,Tipo de piso en comedor cerámica,Cerca Transporte Público,Piso en madera,Vista exterior,Citófonos,Cerca a gimnasio ,&Aacute;rea del lote 96,Piso en porcelanato,Tipo de Casa condominio,&Aacute;rea del lote 300,Cuarto de servicio,Tipo de acabado piso baldosa,Tipo de estufa gas,Gimnasio,Lote Vacio,Características del Parqueadero cubierto,Tipo local otro,Parqueadero cubierto,Cocina integral,Lavaplatos,Cerca Centros Comerciales,Sobre vía principal,Jacuzzi,Tipo de piso en alcobas cerámica,Cerca Parques,En interior y/o bloque,Número de Ascensores 1,&Aacute;rea del lote 72,Número de Ascensores 0,Número de piso 4,Tipo de estufa electrica,Número de piso 1,Esquinero,Acceso para discapacitados,Cerca a restaurantes,Tipo comedor sala comedor,Tipo instalación de gas natural,Vista panorámica,Área Terraza/Balcón 1,Depósito 1,Hall de Alcobas,Tipo de parqueadero independiente,Tipo de Casa tradicional,Piso en baldosa,Cerca Colegios / Universidades,Salón  comunal,Tipo de Cocina abierta,Piso en alfombra,Tipo de Cocina lineal,Vivienda Bifamiliar,Zonas verdes,Puertas de seguridad,Tipo lote lote en construcción,Cerca Supermercados,Sauna y/o turco,Ubicado en Edificio,Número de piso 7,Zona de lavanderia,Baño Auxiliar,Tipo lote lote vacío,&Aacute;rea del lote 20,Cerca a hospitales,Número de piso 0,Zona Residencial,Sobre vía secundaria,Ascensor,Número de niveles 2,Número de Closets 3,Número de piso 8,Tipo de piso en sala cerámica,Tipo de piso en estudio cerámica,Con calefacción,Zona Campestre,Tipo de calentador gas,Número de niveles 3,Vigilancia 24hrs,Zona Comercial,Baño de Servicio,Zona de BBQ,Estudio o biblioteca,Comedor auxiliar,Tipo comedor comedor independiente,Alarma,Parqueadero visitantes,Shut de basura,Ancho 1 m,date,city
"Local Comercial en Venta, VENTA DE LOCAL UBICADO EN EL SECTOR AV UNIVERSITARIA EN TUNJA BOYACA",11295-M3409992,UNIVERSITARIA,5.543505,-73.349428,local,$1.306.540.124,Entre 0 y 5 años,522 m²,522 m²,,"Local comercial ubicado en C.C Green Hills con un área de  522,39 mts2 en obra gris para libre remodelación del comprador adecuado especialmente para oficinas, cuenta con 6 cubículos, un espacio para bodega , 2 baños independientes y una terraza amplia.",4,,,"['Número local 00', 'Número de piso 00', 'Tipo local en centro comercial']","['Número local 00', 'Número de piso 00', 'Tipo local en centro comercial']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/22/2024,tunja
"Lote o Casalote en Venta, Vereda El Porvenir",11295-M3860104,vereda porvenir,5.530388,-73.393903,lote,$50.000.000,Entre 0 y 5 años,0 m²,500 m²,,"Se vende lote rural a 3 minutos del centro de Tunja, con una excelente vista y vías de acceso para vivienda tipo campestre, se entrega con los puntos de los servicios.
",3,,,"['Tipo lote lote vacío', '&Aacute;rea del lote 500']","['Tipo lote lote vacío', '&Aacute;rea del lote 500']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/22/2024,tunja
"Apartamento en Venta, Mesopotamia",10159-M5082691,Mesopotamia,5.545703,-73.35434,apartamento,$420.000.000,Entre 10 y 20 años,116.42 m²,110.05 m²,$360.00 ,"Código 774FR7377 Excelente oportunidad de adquirir apartamento en uno de los sectores más cotizados de la ciudad de Tunja, con fácil acceso de transporte público; consta de tres alcobas con closet, la habitación principal con baño privado y jacuzzi, baño social, cuarto de estudio con baño privado, cocina integral, sala-comedor, zona de lavandería, depósito y garaje, el conjunto cuenta con ascensor, salón social y vigilancia las veinticuatro horas.

Si gusta el apartamento se vende con tres parqueaderos y tres depósitos, precio negociable, no pierdas esta excelente oportunidad, quieres obtener más información, contáctanos para ayudarte a elegir el espacio que buscas…
",5,3,3,"['Baño Auxiliar', 'Baño de Servicio', 'Con calefacción', 'Citófonos', 'Cocina integral', 'Comedor auxiliar', 'Estudio o biblioteca', 'Hall de Alcobas', 'Jacuzzi', 'Zona de lavanderia', 'Número de piso 5', 'Depósito 1', 'Tipo de acabado piso cerámica', 'Ascensor', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Salón  comunal', 'Zonas verdes', 'Cerca Colegios / Universidades', 'Cerca Parques', 'Cerca Transporte Público', 'Zona Comercial', 'Zona Residencial']","['Baño Auxiliar', 'Baño de Servicio', 'Con calefacción', 'Citófonos', 'Cocina integral', 'Comedor auxiliar', 'Estudio o biblioteca', 'Hall de Alcobas', 'Jacuzzi', 'Zona de lavanderia', 'Número de piso 5', 'Depósito 1', 'Tipo de acabado piso cerámica', 'Ascensor', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Salón  comunal', 'Zonas verdes', 'Cerca Colegios / Universidades', 'Cerca Parques', 'Cerca Transporte Público', 'Zona Comercial', 'Zona Residencial']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,9/22/2024,tunja
"Apartamento en Venta, Via paipa",3072-M5257843,via paipa,5.585357,-73.33302,apartamento,$380.000.000,Entre 0 y 5 años,66 m²,10 m²,$165.00 ,"Venta hermoso Apartamento, área 66 Ms2, consta de 3 habitaciones sala comedor cocina integral garaje y deposito, esta ubicado en la zona de mayor valorización , el conjunto cuenta CON SALON COMUNAL ,PARQUES DE VISITANTES, PARQUE INFANTIL FAVOR COMUNICAR TRES DIECISEIS  316 DOS SETENTA  Y NUEVE  279 SETENTA Y SIETE 77 CUARENTA Y UNO   41 , ",4,3,2,"['Tipo de Cortinas persianas', 'Hall de Alcobas', 'Puertas de seguridad', 'Zona de lavanderia', 'Extractor', 'Horno', 'Tipo instalación de gas natural', 'Luz en la tarde', 'Número de Closets 3', 'Número de piso 8', 'Puerta eléctrica', 'Shut de basura', 'Tipo de calentador gas', 'Tipo de Cocina abierta', 'Tipo comedor sala comedor', 'Depósito 1', 'Tipo de estufa gas', 'Tipo de piso en alcobas laminado', 'Tipo de piso en comedor cerámica', 'Vista exterior', 'Área Terraza/Balcón 10', 'Ascensor', 'Parqueadero cubierto', 'Vista panorámica', 'Conjunto cerrado', 'Número de Ascensores 2', 'Terraza/Balcón balcón', 'Tipo de parqueadero propio', 'Vigilancia 24hrs', 'Sobre vía principal']","['Tipo de Cortinas persianas', 'Hall de Alcobas', 'Puertas de seguridad', 'Zona de lavanderia', 'Extractor', 'Horno', 'Tipo instalación de gas natural', 'Luz en la tarde', 'Número de Closets 3', 'Número de piso 8', 'Puerta eléctrica', 'Shut de basura', 'Tipo de calentador gas', 'Tipo de Cocina abierta', 'Tipo comedor sala comedor', 'Depósito 1', 'Tipo de estufa gas', 'Tipo de piso en alcobas laminado', 'Tipo de piso en comedor cerámica', 'Vista exterior', 'Área Terraza/Balcón 10', 'Ascensor', 'Parqueadero cubierto', 'Vista panorámica', 'Conjunto cerrado', 'Número de Ascensores 2', 'Terraza/Balcón balcón', 'Tipo de parqueadero propio', 'Vigilancia 24hrs', 'Sobre vía principal']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,9/22/2024,tunja
"Casa en Venta, Zona Centro",10159-M4838438,centro ,5.532949,-73.360721,apartamento,$3.632.000.000,Más de 20 años,307 m²,300 m²,,"Código 7317FR206 Excelente oportunidad de adquirir casa lote comercial en el centro histórico de la ciudad de Tunja, con un área de novecientos sesenta y cinco metros cuadrados los cuales se distribuyen así en el primer piso se encuentra un local comercial con baño, segundo piso con local comercial, dos baños, al interior de la casa se encuentran seis habitaciones que actualmente funcionan como oficinas y bodegas, tres baños, cocina equipada, zona de lavandería y un amplio lote de seiscientos cincuenta metros aproximadamente, el terreno es apto para realizar grandes proyectos de construcción o locales comerciales con un fuerte potencial de desarrollo para un proyecto de tres pisos con locales en el primer piso y oficinas en el segundo y tercer piso.

¡lo mejor de todo...no es patrimonio histórico y es negociable!!! Quieres obtener más información, contáctanos para ayudarte a elegir el espacio que buscas…
",6,5,5,"['Baño Auxiliar', 'Baño de Servicio', 'Zona de lavanderia', 'Número de piso 2', 'Depósito 1', 'Tipo de acabado piso cerámica', '&Aacute;rea del lote 965', 'Circuito cerrado de TV', 'Jardín', 'Jardín interior', 'Salón  comunal', 'Zonas verdes', 'Cerca Colegios / Universidades', 'Cerca Parques', 'Cerca Transporte Público', 'Zona Comercial', 'Zona Residencial']","['Baño Auxiliar', 'Baño de Servicio', 'Zona de lavanderia', 'Número de piso 2', 'Depósito 1', 'Tipo de acabado piso cerámica', '&Aacute;rea del lote 965', 'Circuito cerrado de TV', 'Jardín', 'Jardín interior', 'Salón  comunal', 'Zonas verdes', 'Cerca Colegios / Universidades', 'Cerca Parques', 'Cerca Transporte Público', 'Zona Comercial', 'Zona Residencial']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9/22/2024,tunja
"Casa en Venta, PUENTE HAMACA",11295-M3572887,PUENTE HAMACA,5.530194,-73.327229,apartamento,$850.000.000,Entre 5 y 10 años,280 m²,5380 m²,4,"Pertenece al municipio de Soracá ubicada  a pocos metros del campo de golf Potrerillo en un lugar de alto desarrollo cerca al Nuevo Terminal de Tunja y a la 10 minutos de la Casa del Gobernador, con un área de 5380 metros y 280 metros construidos. Cuenta con: 5 habitaciones con baño y closets de pared a pared, (la habitación principal con Vestier) 6 baños en total. Patio de ropas Cocina integral con mesón de mármol. Alacena interna Depósito interno Sala comedor Sala auxiliar de tv Garaje con capacidad para 10 vehículos Puerta eléctrica Ventanales de seguridad (todos equipados con blackout o persiana de panel) Nacimiento propio de agua y tanque de reserva. Cuenta con una excelente vista.",3,5,5,"['Zona de lavanderia', 'Tipo de Casa condominio']","['Zona de lavanderia', 'Tipo de Casa condominio']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/22/2024,tunja
"Casa en Venta, ALTAGRACIA",10123-M5201614,ALTAGRACIA,5.556005,-73.34436,apartamento,$2.850.000.000,Entre 10 y 20 años,606 m²,585 m²,$200.00 ,"Vendo linda casa ubicada a las afueras de Tunja-Boyacá, cuenta con un lote 2762 m2, distribuidos en 3 casas, casa No 1, con 450 m2, cuenta con 3 habitaciones, 3 baños, parqueadero para 10 carros. Casa No 2 cuenta con 110m2 distribuidos en 2 habitaciones, 2 baños. Casa No 3: 46.72 distribuidos en dos habitaciones y un baño.",3,4,4,"['Ancho 25 m', 'Apto para niños', 'Con chimenea', 'Citófonos', 'Hall de Alcobas', 'Zona de lavanderia', 'Fondo 20 m', 'Tipo instalación de gas natural', 'Número de Closets 4', 'Tipo de calentador gas', 'Tipo de Casa tradicional', 'Tipo de Cocina abierta', 'Tipo comedor sala comedor', 'Depósito 1', 'Tipo de estufa gas', 'Tipo de acabado piso madera', 'Tipo de piso en alcobas madera', 'Tipo de piso en comedor madera', 'Tipo de piso en estudio madera', 'Tipo de piso en sala madera', 'Vista exterior', '&Aacute;rea del lote 2762', 'Área Terraza/Balcón 10', 'Acceso para discapacitados', 'Circuito cerrado de TV', 'Parqueadero cubierto', 'Jardín', 'Vista panorámica', 'Conjunto cerrado', 'Esquinero', 'Terraza/Balcón balcón', 'Tipo de parqueadero propio', 'Vigilancia 24hrs', 'Jardín interior', 'Zona de BBQ', 'Cerca Centros Comerciales', 'Cerca Colegios / Universidades', 'Cerca Parques', 'Cerca Supermercados', 'Cerca Transporte Público', 'Sobre vía secundaria']","['Ancho 25 m', 'Apto para niños', 'Con chimenea', 'Citófonos', 'Hall de Alcobas', 'Zona de lavanderia', 'Fondo 20 m', 'Tipo instalación de gas natural', 'Número de Closets 4', 'Tipo de calentador gas', 'Tipo de Casa tradicional', 'Tipo de Cocina abierta', 'Tipo comedor sala comedor', 'Depósito 1', 'Tipo de estufa gas', 'Tipo de acabado piso madera', 'Tipo de piso en alcobas madera', 'Tipo de piso en comedor madera', 'Tipo de piso en estudio madera', 'Tipo de piso en sala madera', 'Vista exterior', '&Aacute;rea del lote 2762', 'Área Terraza/Balcón 10', 'Acceso para discapacitados', 'Circuito cerrado de TV', 'Parqueadero cubierto', 'Jardín', 'Vista panorámica', 'Conjunto cerrado', 'Esquinero', 'Terraza/Balcón balcón', 'Tipo de parqueadero propio', 'Vigilancia 24hrs', 'Jardín interior', 'Zona de BBQ', 'Cerca Centros Comerciales', 'Cerca Colegios / Universidades', 'Cerca Parques', 'Cerca Supermercados', 'Cerca Transporte Público', 'Sobre vía secundaria']",1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,9/22/2024,tunja
"Casa en Venta, EL PARAISO TUNJA",11295-M4204386,paraiso,5.537356,-73.362719,apartamento,$180.000.000,Entre 10 y 20 años,92 m²,92 m²,1,"Se vende casa esquinera de 2 niveles en una ubicación privilegiada, cerca del Colegio Inem y con fácil acceso a transporte público. A solo 7 minutos del centro histórico, esta vivienda cómoda consta de sala comedor, baño social, cocina, patio de ropas y una habitación en el primer nivel. En el segundo nivel, se encuentran 3 habitaciones y 1 baño. Además, cuenta con una zona de parqueo. ¡No pierdas la oportunidad de adquirir esta casa en una excelente ubicación y con todas las comodidades que necesitas para vivir cómodamente!",3,3,2,"['Zona de lavanderia', 'Tipo de Casa tradicional', 'Vista exterior']","['Zona de lavanderia', 'Tipo de Casa tradicional', 'Vista exterior']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/22/2024,tunja
"Apartamento en Venta, Edificio Ruiseñor",16742-M5215577,ruisenor,5.542724,-73.357122,apartamento,$340.000.000,Entre 10 y 20 años,92.37 m²,92.37 m²,$80.00 ,"Espectacular apartamento ubicado en el sector maldonado  cuenta con una excelente iluminación y ventilación natural, su disposición y ubicación le permite el ingreso de sol lo que ayuda mantener una temperatura de confort en su interior. El apartamento consta de,  sala comedor con chimenea, cocina integral, zona de ropas, cuarto de servicio con baño, hall con estudio, 2 alcobas con closet , baño general y garaje. ",3,3,2,"['Con chimenea', 'Cuarto de servicio', 'Estudio o biblioteca', 'Hall de Alcobas', 'Tipo instalación de gas natural', 'Número de piso 2', 'Tipo de calentador gas', 'Tipo comedor sala comedor', 'Tipo de estufa electrica', 'Vista exterior', 'Parqueadero cubierto', 'Vista panorámica', 'Conjunto cerrado', 'Número de Ascensores 0', 'Tipo de parqueadero propio', 'Cerca Centros Comerciales', 'Cerca Colegios / Universidades', 'Cerca Supermercados', 'Cerca Transporte Público']","['Con chimenea', 'Cuarto de servicio', 'Estudio o biblioteca', 'Hall de Alcobas', 'Tipo instalación de gas natural', 'Número de piso 2', 'Tipo de calentador gas', 'Tipo comedor sala comedor', 'Tipo de estufa electrica', 'Vista exterior', 'Parqueadero cubierto', 'Vista panorámica', 'Conjunto cerrado', 'Número de Ascensores 0', 'Tipo de parqueadero propio', 'Cerca Centros Comerciales', 'Cerca Colegios / Universidades', 'Cerca Supermercados', 'Cerca Transporte Público']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9/22/2024,tunja
"Apartamento en Venta, Balcones De Don Espiritu",10159-M5074956,Balcones De Don Espiritu,5.577967,-73.341217,apartamento,$210.000.000,Entre 0 y 5 años,63 m²,60 m²,1,"Código 774FR1452 Excelente oportunidad de adquirir apartamento nuevo al norte de la ciudad de Tunja, con fácil acceso de transporte público; consta de tres alcobas con closet, la habitación principal con baño privado, un baño social, cocina integral tipo americano, sala-comedor, balcón, zona de lavandería, área social, terraza, parque para niños, Zona BBQ y parqueadero.

Quieres obtener más información, contáctanos para ayudarte a elegir el espacio que buscas…
",4,3,2,"['Baño Auxiliar', 'Baño de Servicio', 'Con calefacción', 'Cocina integral', 'Comedor auxiliar', 'Hall de Alcobas', 'Zona de lavanderia', 'Número de piso 5', 'Depósito 1', 'Tipo de acabado piso cerámica', 'Vista panorámica', 'Cerca Colegios / Universidades', 'Cerca Transporte Público', 'Zona Residencial']","['Baño Auxiliar', 'Baño de Servicio', 'Con calefacción', 'Cocina integral', 'Comedor auxiliar', 'Hall de Alcobas', 'Zona de lavanderia', 'Número de piso 5', 'Depósito 1', 'Tipo de acabado piso cerámica', 'Vista panorámica', 'Cerca Colegios / Universidades', 'Cerca Transporte Público', 'Zona Residencial']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9/22/2024,tunja
